ROWID	_SortID|INTEGER
1	1000
2	1000
3	1000
4	1000
5	1000
6	1000
7	1000
8	1100
9	1200
10	1300
11	4000
12	3800
13	3100
14	6900
15	5100
16	5200
17	5300
18	5400
19	5500
20	5600
21	5700
22	5800
23	5900
24	6000
25	6100
26	6200
27	6300
28	6400
29	6500
30	6600
31	6700
32	6800
33	1400
34	1500
35	1600
36	4300
37	4400
38	4500
39	4600
40	4700
41	4800
42	4900
43	5000
44	7000
45	7100
46	7200
47	7300
48	7400
49	7500
50	7600
51	3000
52	2000
53	2300
54	1800
55	1900
56	1700
57	2100
58	2200
59	3200
60	3300
61	3400
62	3500
63	3600
64	3700
65	3900
66	2400
67	2500
68	2600
69	2700
70	2800
71	4100
72	4200
73	2900
74	2900
