ROWID	_class|INTEGER	_QuestType|INTEGER	_ItemIndex1|INTEGER	_ItemCount1|INTEGER	_ItemIndex2|INTEGER	_ItemCount2|INTEGER
38	1	4	268466749	1	0	0
39	2	4	268466749	1	0	0
40	3	4	268466749	1	0	0
41	4	4	268466749	1	0	0
42	5	4	268466749	1	0	0
43	6	4	268466749	1	0	0
44	7	4	268466749	1	0	0
45	8	4	268466749	1	0	0
46	9	4	268466749	1	0	0
47	10	4	268466749	1	0	0
48	1	1	268466749	1	0	0
49	2	1	268466749	1	0	0
50	3	1	268466749	1	0	0
51	4	1	268466749	1	0	0
52	5	1	268466749	1	0	0
53	6	1	268466749	1	0	0
54	7	1	268466749	1	0	0
55	8	1	268466749	1	0	0
56	9	1	268466749	1	0	0
57	10	1	268466749	1	0	0
