ROWID	_SecondarySkillID|INTEGER	_MakeItemCount|INTEGER	_MakeItem1ID|INTEGER	_MinExp1|INTEGER	_MaxExp1|INTEGER	_TypeCompletion1|INTEGER	_MakeItem2ID|INTEGER	_MinExp2|INTEGER	_MaxExp2|INTEGER	_TypeCompletion2|INTEGER	_MakeItem3ID|INTEGER	_MinExp3|INTEGER	_MaxExp3|INTEGER	_TypeCompletion3|INTEGER	_MakeItem4ID|INTEGER	_MinExp4|INTEGER	_MaxExp4|INTEGER	_TypeCompletion4|INTEGER	_MakeItem5ID|INTEGER	_MinExp5|INTEGER	_MaxExp5|INTEGER	_TypeCompletion5|INTEGER	_SecondarySkillClass|INTEGER	_SecondarySkillLevel|INTEGER	_ToolItem1ID|INTEGER	_ToolItem2ID|INTEGER	_ToolItem3ID|INTEGER	_ToolItem4ID|INTEGER	_ToolItem5ID|INTEGER	_StartExp|INTEGER	_MasterExp|INTEGER	_MaxTime|INTEGER	_SuccessProbability|INTEGER	_SuccessCount|INTEGER	_SuccessUpExp|INTEGER	_RecipeUpExp|INTEGER	_MaterialItem1ID|INTEGER	_Count1|INTEGER	_MaterialItem2ID|INTEGER	_Count2|INTEGER	_MaterialItem3ID|INTEGER	_Count3|INTEGER	_MaterialItem4ID|INTEGER	_Count4|INTEGER	_MaterialItem5ID|INTEGER	_Count5|INTEGER
348201985	1101	5	348217857	0	25	7439	348217858	26	50	1000018388	348217859	51	75	7441	348217860	76	99	7442	348217861	100	100	7443	1	1	348209155	0	0	0	0	0	50	10000	100	1	1	1	348365825	3	348365826	3	0	0	0	0	0	0
348201986	1101	5	348217862	0	25	7439	348217863	26	50	1000018388	348217864	51	75	7441	348217865	76	99	7442	348217866	100	100	7443	1	1	348209154	0	0	0	0	0	50	10000	100	1	1	1	348349441	3	348349442	3	0	0	0	0	0	0
348201987	1101	5	348217867	0	25	7439	348217868	26	50	1000018388	348217869	51	75	7441	348217870	76	99	7442	348217871	100	100	7443	1	1	348209157	0	0	0	0	0	50	10000	100	1	1	1	348357633	3	348382210	3	0	0	0	0	0	0
348201988	1101	5	348217872	0	25	7439	348217873	26	50	1000018388	348217874	51	75	7441	348217875	76	99	7442	348217876	100	100	7443	1	1	348209157	0	0	0	0	0	50	10000	100	1	1	1	348374017	3	348357634	3	0	0	0	0	0	0
348201989	1101	5	348217877	0	25	7439	348217878	26	50	1000018388	348217879	51	75	7441	348217880	76	99	7442	348217881	100	100	7443	1	1	348209154	0	0	0	0	0	50	10000	100	1	1	1	348382209	3	348374018	3	0	0	0	0	0	0
348201990	1101	5	348217882	0	25	7439	348217883	26	50	1000018388	348217884	51	75	7441	348217885	76	99	7442	348217886	100	100	7443	1	1	348209155	0	0	0	0	0	50	10000	100	1	1	1	348365826	3	348374019	3	0	0	0	0	0	0
348201991	1101	5	348217887	0	25	7439	348217888	26	50	1000018388	348217889	51	75	7441	348217890	76	99	7442	348217891	100	100	7443	1	1	348209154	0	0	0	0	0	50	10000	100	1	1	1	348349442	3	348365827	3	0	0	0	0	0	0
348201992	1101	5	348217892	0	25	7439	348217893	26	50	1000018388	348217894	51	75	7441	348217895	76	99	7442	348217896	100	100	7443	1	1	348209155	0	0	0	0	0	50	10000	100	1	1	1	348357634	3	348357635	3	0	0	0	0	0	0
348201993	1101	5	348217897	0	25	7439	348217898	26	50	1000018388	348217899	51	75	7441	348217900	76	99	7442	348217901	100	100	7443	1	1	348209155	0	0	0	0	0	50	10000	100	1	1	1	348374018	3	348349443	3	0	0	0	0	0	0
348201994	1101	5	348217902	0	25	7439	348217903	26	50	1000018388	348217904	51	75	7441	348217905	76	99	7442	348217906	100	100	7443	1	1	348209156	0	0	0	0	0	50	10000	100	1	1	1	348382210	3	348382211	3	0	0	0	0	0	0
348201995	1101	5	348217907	0	25	7439	348217908	26	50	1000018388	348217909	51	75	7441	348217910	76	99	7442	348217911	100	100	7443	1	1	348209157	0	0	0	0	0	50	10000	100	1	1	1	348357634	3	348274753	10	0	0	0	0	0	0
348201996	1101	5	348217912	0	25	7439	348217913	26	50	1000018388	348217914	51	75	7441	348217915	76	99	7442	348217916	100	100	7443	1	1	348209156	0	0	0	0	0	50	10000	100	1	1	1	348382211	3	348274754	10	0	0	0	0	0	0
348202177	1101	5	348218369	0	25	7439	348218370	26	50	1000018388	348218371	51	75	7441	348218372	76	99	7442	348218373	100	100	7443	1	4	348209153	0	0	0	0	0	200	10000	100	1	2	2	348365827	3	348357636	3	348276291	10	0	0	0	0
348202178	1101	5	348218374	0	25	7439	348218375	26	50	1000018388	348218376	51	75	7441	348218377	76	99	7442	348218378	100	100	7443	1	4	348209156	0	0	0	0	0	200	10000	100	1	2	2	348349443	3	348374020	3	0	0	0	0	0	0
348202179	1101	5	348218379	0	25	7439	348218380	26	50	1000018388	348218381	51	75	7441	348218382	76	99	7442	348218383	100	100	7443	1	4	348209155	0	0	0	0	0	200	10000	100	1	2	2	348357635	3	348349444	3	0	0	0	0	0	0
348202180	1101	5	348218384	0	25	7439	348218385	26	50	1000018388	348218386	51	75	7441	348218387	76	99	7442	348218388	100	100	7443	1	4	348209153	0	0	0	0	0	200	10000	100	1	2	2	348374019	3	348365828	3	348276293	10	0	0	0	0
348202181	1101	5	348218389	0	25	7439	348218390	26	50	1000018388	348218391	51	75	7441	348218392	76	99	7442	348218393	100	100	7443	1	4	348209153	0	0	0	0	0	200	10000	100	1	2	2	348382211	3	348382212	3	0	0	0	0	0	0
348202182	1101	5	348226561	0	25	7439	348226562	26	50	1000018388	348226563	51	75	7441	348226564	76	99	7442	348226565	100	100	7443	1	4	348209156	0	0	0	0	0	200	30000	100	1	2	2	348365828	5	348365829	5	348276292	10	0	0	0	0
348202183	1101	5	348226566	0	25	7439	348226567	26	50	1000018388	348226568	51	75	7441	348226569	76	99	7442	348226570	100	100	7443	1	4	348209155	0	0	0	0	0	200	30000	100	1	2	2	348349444	5	348349445	5	0	0	0	0	0	0
348202184	1101	5	348226571	0	25	7439	348226572	26	50	1000018388	348226573	51	75	7441	348226574	76	99	7442	348226575	100	100	7443	1	4	348209154	0	0	0	0	0	200	30000	100	1	2	2	348357636	5	348357637	5	0	0	0	0	0	0
348202185	1101	5	348226576	0	25	7439	348226577	26	50	1000018388	348226578	51	75	7441	348226579	76	99	7442	348226580	100	100	7443	1	4	348209156	0	0	0	0	0	200	30000	100	1	2	2	348374020	5	348382213	5	348276290	10	0	0	0	0
348202186	1101	5	348226581	0	25	7439	348226582	26	50	1000018388	348226583	51	75	7441	348226584	76	99	7442	348226585	100	100	7443	1	4	348209156	0	0	0	0	0	200	30000	100	1	2	2	348382212	5	348374021	5	0	0	0	0	0	0
348202187	1101	5	348218394	0	25	7439	348218395	26	50	1000018388	348218396	51	75	7441	348218397	76	99	7442	348218398	100	100	7443	1	4	348209155	0	0	0	0	0	200	10000	100	1	2	2	348357635	3	348276289	10	0	0	0	0	0	0
348202188	1101	5	348226586	0	25	7439	348226587	26	50	1000018388	348226588	51	75	7441	348226589	76	99	7442	348226590	100	100	7443	1	4	348209153	0	0	0	0	0	200	30000	100	1	2	2	348365828	5	348276294	10	0	0	0	0	0	0
348202189	1101	1	336990720	0	100	1000020350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209153	0	0	0	0	0	200	10000	100	1	2	2	348366849	3	348350465	3	348358657	3	348375041	3	348383233	3
348202190	1101	5	348218399	0	25	7439	348218400	26	50	1000018388	348218401	51	75	7441	348218402	76	99	7442	348218403	100	100	7443	1	4	348209153	348209154	348209155	0	0	0	200	10000	100	1	2	2	348234753	4	348274817	5	348276353	5	348367873	2	348384257	2
348202191	1101	1	348218404	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209154	0	0	0	0	0	200	10000	100	1	2	2	348276354	3	348276355	3	348274817	3	348276353	3	0	0
348202192	1101	1	348218405	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209154	0	0	0	0	0	200	10000	100	1	2	2	348375041	3	348383233	3	348366849	3	348350465	3	0	0
348202433	1101	5	348218881	0	25	7439	348218882	26	50	1000018388	348218883	51	75	7441	348218884	76	99	7442	348218885	100	100	7443	1	8	348209154	0	0	0	0	0	600	10000	100	1	3	3	348365829	3	348365830	3	348278341	10	0	0	0	0
348202434	1101	5	348218886	0	25	7439	348218887	26	50	1000018388	348218888	51	75	7441	348218889	76	99	7442	348218890	100	100	7443	1	8	348209153	0	0	0	0	0	600	10000	100	1	3	3	348349445	3	348382214	3	0	0	0	0	0	0
348202435	1101	5	348218891	0	25	7439	348218892	26	50	1000018388	348218893	51	75	7441	348218894	76	99	7442	348218895	100	100	7443	1	8	348209155	0	0	0	0	0	600	10000	100	1	3	3	348357637	3	348357638	3	0	0	0	0	0	0
348202436	1101	5	348218896	0	25	7439	348218897	26	50	1000018388	348218898	51	75	7441	348218899	76	99	7442	348218900	100	100	7443	1	8	348209153	0	0	0	0	0	600	10000	100	1	3	3	348374021	3	348374022	3	348278337	10	0	0	0	0
348202437	1101	5	348218901	0	25	7439	348218902	26	50	1000018388	348218903	51	75	7441	348218904	76	99	7442	348218905	100	100	7443	1	8	348209156	0	0	0	0	0	600	10000	100	1	3	3	348382213	3	348349446	3	0	0	0	0	0	0
348202438	1101	5	348218906	0	25	7439	348218907	26	50	1000018388	348218908	51	75	7441	348218909	76	99	7442	348218910	100	100	7443	1	8	348209156	0	0	0	0	0	600	10000	100	1	3	3	348365830	3	348365831	3	348278342	10	0	0	0	0
348202439	1101	5	348218911	0	25	7439	348218912	26	50	1000018388	348218913	51	75	7441	348218914	76	99	7442	348218915	100	100	7443	1	8	348209154	0	0	0	0	0	600	10000	100	1	3	3	348349446	3	348349447	3	0	0	0	0	0	0
348202440	1101	5	348218916	0	25	7439	348218917	26	50	1000018388	348218918	51	75	7441	348218919	76	99	7442	348218920	100	100	7443	1	8	348209155	0	0	0	0	0	600	10000	100	1	3	3	348357638	3	348357639	3	0	0	0	0	0	0
348202441	1101	5	348218921	0	25	7439	348218922	26	50	1000018388	348218923	51	75	7441	348218924	76	99	7442	348218925	100	100	7443	1	8	348209156	0	0	0	0	0	600	10000	100	1	3	3	348374022	3	348374023	3	348278340	10	0	0	0	0
348202442	1101	5	348218926	0	25	7439	348218927	26	50	1000018388	348218928	51	75	7441	348218929	76	99	7442	348218930	100	100	7443	1	8	348209157	0	0	0	0	0	600	10000	100	1	3	3	348382214	3	348382215	3	0	0	0	0	0	0
