ROWID	_EnchantRatio|FLOAT	_BreakRatio|FLOAT	_MinDown|INTEGER	_MaxDown|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER	_NeedItemID3|INTEGER	_NeedItemCount3|INTEGER	_NeedItemID4|INTEGER	_NeedItemCount4|INTEGER	_NeedItemID5|INTEGER	_NeedItemCount5|INTEGER	_UpStateRatio|FLOAT	_ActionChangeValue|INTEGER	_FailResultDropItemTableID|INTEGER	_ProtectItemCount|INTEGER	_ShieldItemCount|INTEGER
1	0.5	0.5	1	5	411001001	1	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
2	0.5	0.5	1	5	411001001	1	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
3	0.5	0.5	1	5	411001001	2	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
4	0.5	0.5	1	5	411001001	2	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
5	0.5	0.5	1	5	411001001	3	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
6	0.5	0.5	1	5	411001001	3	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
7	0.5	0.5	1	5	411001001	1	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
8	0.5	0.5	1	5	411001001	1	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
9	0.5	0.5	1	5	411001001	2	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
10	0.5	0.5	1	5	411001001	2	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
11	0.5	0.5	1	5	411001001	3	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
12	0.5	0.5	1	5	411001001	3	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
13	0.5	0.5	1	5	411001001	1	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
14	0.5	0.5	1	5	411001001	2	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
15	0.5	0.5	1	5	411001001	3	0	0	0	0	0	0	0	0	1.0	1	110000101	0	0
100	1.0	0.0	1	0	336629760	1	0	0	0	0	0	0	0	0	0.035714287	0	0	0	0
101	1.0	0.0	1	0	336629760	1	0	0	0	0	0	0	0	0	0.071428575	0	0	0	0
