ROWID	_MonsterTableIndex|INTEGER	_Difficulty|INTEGER	_CustomAI|TEXT	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_HPWeight|FLOAT	_AttackPMinWeight|FLOAT	_AttackPMaxWeight|FLOAT	_AttackMMinWeight|FLOAT	_AttackMMaxWeight|FLOAT	_DefensePWeight|FLOAT	_DefenseMWeight|FLOAT	_StiffWeight|FLOAT	_CriticalWeight|FLOAT	_StunWeight|FLOAT	_StiffResistanceWeight|FLOAT	_CriticalResistanceWeight|FLOAT	_StunResistanceWeight|FLOAT	_SuperAmmorWeight|FLOAT	_Element_Str_Weight|FLOAT	_Fire_Def_Weight|FLOAT	_Ice_Def_Weight|FLOAT	_Light_Def_Weight|FLOAT	_Dark_Def_Weight|FLOAT	_MoveSpeedWeight|INTEGER	_DownDelayWeight|FLOAT	_DurabilityWeight|FLOAT	_DeadDurabilityWeight|DOUBLE
1600975	600975	0	FrogMagician_SlugNV.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1600976	600976	0	BabyEnt_Green_Hidden_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1600977	600977	0	AiSkeleton_Gray_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1600978	600978	0	AiShadow_Dark_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601001	601001	0	AiTroll_Red_Normal.lua	9.624	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601002	601002	0	AiTroll_Red_Elite_Normal.lua	19.248	0.0	2.0	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601003	601003	0	AiTroll_Blue_Normal.lua	7.218	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601004	601004	0	AiTroll_Blue_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601005	601005	0	AiTroll_Blue_Normal.lua	1.44	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601006	601006	0	AiHoundArmor_General_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601007	601007	0	AiHoundArmor_General_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601008	601008	0	AiHoundArmor_General_Normal.lua	0.0	0.0	2.0	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601009	601009	0	AiSpittler_Green_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601010	601010	0	AiSpittler_Green_Elite_Normal.lua	8.178	0.0	2.0	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601011	601011	0	AiSpittler_Green_Normal.lua	4.086	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601012	601012	0	AiSpittler_Green_Normal.lua	0.0	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1601013	601013	0	AiWraith_Desert_Normal.lua	4.812	0.0	1.1	1.3	1.3	1.3	1.3	1.0	1.0	0.25	0.5	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
