ROWID	_MobileEnchantID|INTEGER	_IsGroup|BOOLEAN	_TargetItemID|INTEGER	_MinEnchantLevel|INTEGER	_MaxEnchantLevel|INTEGER	_MobileEnchantRatio|FLOAT
1	847258178	true	1	1	20	0.5
2	847258179	true	2	1	20	0.5
3	847258179	true	4	1	10	0.5
4	847258180	true	3	1	20	0.5
5	847258180	true	4	1	10	0.5
6	847258180	true	5	1	10	0.5
7	847258351	true	3	1	15	0.5
8	847258351	true	4	1	10	0.5
9	847258351	true	5	1	10	0.5
10	847258351	true	3	16	16	0.71
11	847258351	true	3	17	17	0.71
12	847258351	true	3	18	18	1.0
13	847258351	true	3	19	19	1.0
14	847258351	true	3	20	20	1.0
15	847258352	true	3	1	15	0.5
16	847258352	true	4	1	10	0.5
17	847258352	true	5	1	10	0.5
18	847258352	true	3	16	16	1.28
19	847258352	true	3	17	17	1.28
20	847258352	true	3	18	18	1.8
21	847258352	true	3	19	19	1.8
22	847258352	true	3	20	20	1.8
23	847258354	true	6	1	20	0.5
24	847258354	true	4	1	10	0.5
25	847258354	true	5	1	10	0.5
26	847258355	true	7	1	20	0.5
27	847258355	true	4	1	10	0.5
28	847258355	true	5	1	10	0.5
29	847258353	true	8	10	20	2.0
33	847258357	true	9	1	7	0.5
34	847258357	true	9	8	8	0.53
35	847258357	true	9	9	9	0.55
36	847258357	true	9	10	10	0.59
37	847258357	true	9	11	11	0.62
38	847258357	true	9	12	12	0.67
39	847258357	true	9	13	13	0.71
40	847258357	true	9	14	14	0.75
41	847258357	true	9	15	15	0.79
42	847258357	true	9	16	16	0.84
43	847258357	true	9	17	17	0.9
44	847258357	true	9	18	18	0.98
45	847258357	true	9	19	19	1.06
46	847258357	true	9	20	20	1.13
47	847258357	true	12	1	10	0.62
49	847258357	true	12	12	12	0.62
50	847258357	true	12	13	13	0.62
51	847258357	true	12	14	14	0.62
52	847258357	true	12	15	15	0.62
53	847258357	true	12	16	16	0.62
54	847258357	true	12	17	17	0.62
55	847258357	true	12	18	18	0.62
56	847258357	true	12	19	19	0.62
57	847258357	true	12	20	20	0.62
58	847258359	true	3	1	20	10000.0
59	847258359	true	4	1	10	10000.0
60	847258359	true	5	1	10	10000.0
64	847258358	true	9	1	7	0.9
65	847258358	true	9	8	8	0.95
66	847258358	true	9	9	9	1.0
67	847258358	true	9	10	10	1.06
68	847258358	true	9	11	11	1.12
69	847258358	true	9	12	12	1.2
70	847258358	true	9	13	13	1.27
71	847258358	true	9	14	14	1.35
72	847258358	true	9	15	15	1.43
73	847258358	true	9	16	16	1.52
74	847258358	true	9	17	17	1.63
75	847258358	true	9	18	18	1.76
76	847258358	true	9	19	19	1.91
77	847258358	true	9	20	20	2.04
78	847258358	true	12	1	10	1.12
80	847258358	true	12	12	12	1.12
81	847258358	true	12	13	13	1.12
82	847258358	true	12	14	14	1.12
83	847258358	true	12	15	15	1.12
84	847258358	true	12	16	16	1.12
85	847258358	true	12	17	17	1.12
86	847258358	true	12	18	18	1.12
87	847258358	true	12	19	19	1.12
88	847258358	true	12	20	20	1.12
89	847258354	true	10	1	10	0.06
90	847258354	true	10	12	20	0.06
91	847258355	true	11	1	10	0.06
92	847258355	true	11	12	20	0.06
93	847258359	true	12	1	10	10000.0
94	847258359	true	12	12	20	10000.0
95	847258509	true	13	1	20	0.41
96	847258509	true	14	1	10	0.41
97	847258509	true	14	12	20	0.41
98	847258510	true	15	1	20	0.41
99	847258510	true	16	1	10	0.41
100	847258510	true	16	12	20	0.41
101	847258551	true	17	11	11	0.25
102	847258552	true	17	12	12	0.25
103	847258553	true	17	13	13	0.25
104	847258554	true	17	14	14	0.25
105	847258576	true	18	11	11	0.15
106	847258577	true	18	12	12	0.15
107	847258578	true	18	13	13	0.15
108	847258579	true	18	14	14	0.15
109	847258580	true	19	11	11	0.15
110	847258581	true	19	12	12	0.15
111	847258582	true	19	13	13	0.15
112	847258583	true	19	14	14	0.15
113	847258584	true	20	11	11	0.15
114	847258585	true	20	12	12	0.15
115	847258586	true	20	13	13	0.15
116	847258587	true	20	14	14	0.15
117	847258588	true	21	11	11	0.15
118	847258589	true	21	12	12	0.15
119	847258590	true	21	13	13	0.15
120	847258591	true	21	14	14	0.15
