ROWID	_Rank|INTEGER	_LevelLimit|INTEGER	_EnchantLevel|INTEGER	_ResultRank|INTEGER	_ResultLevel|INTEGER	_ResultEnchantLevel|INTEGER	_NeedCoin|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER
1	3	80	1	3	80	1	30000	0	0	0	1
2	3	80	2	3	80	2	60000	0	0	0	1
3	3	80	3	3	80	3	90000	0	0	0	1
4	3	80	4	3	80	4	120000	0	0	0	1
5	3	80	5	3	80	5	150000	0	0	0	2
6	3	80	6	3	80	6	180000	0	0	0	2
7	3	80	7	3	80	7	210000	0	0	0	2
8	3	80	8	3	80	8	240000	536875950	1	0	2
9	3	80	9	3	80	9	270000	536875950	1	0	2
10	3	80	10	3	80	10	300000	536875950	1	0	3
11	3	80	11	3	80	11	350000	536875950	2	0	5
12	3	80	12	3	80	12	400000	536875950	2	0	6
13	3	80	13	3	80	13	500000	536875950	3	0	7
14	3	80	14	3	80	14	1000000	536875950	5	0	10
15	3	80	15	3	80	15	2000000	536875950	10	0	12
16	3	80	1	4	80	1	210000	536875950	2	0	1
17	3	80	2	4	80	1	180000	536875950	2	0	1
18	3	80	3	4	80	1	150000	536875950	2	0	1
19	3	80	4	4	80	2	180000	536875950	2	0	1
20	3	80	5	4	80	3	210000	536875950	4	0	2
21	3	80	6	4	80	4	240000	536875950	4	0	2
22	3	80	7	4	80	5	270000	536875950	6	0	3
23	3	80	8	4	80	6	300000	536875950	6	0	4
24	3	80	9	4	80	7	400000	536875950	6	0	7
25	3	80	10	4	80	8	500000	536875950	10	0	9
26	3	80	11	4	80	9	700000	536875950	14	0	11
27	3	80	12	4	80	10	1000000	536875950	20	0	15
28	3	80	13	4	80	11	1800000	536875950	24	0	25
29	3	80	14	4	80	12	3000000	536875950	30	0	70
30	3	80	15	4	80	13	5000000	536875950	50	0	200
31	4	80	1	4	80	1	30000	0	0	0	1
32	4	80	2	4	80	2	60000	0	0	0	1
33	4	80	3	4	80	3	90000	0	0	0	1
34	4	80	4	4	80	4	120000	0	0	0	1
35	4	80	5	4	80	5	150000	0	0	0	2
36	4	80	6	4	80	6	180000	0	0	0	2
37	4	80	7	4	80	7	210000	0	0	0	2
38	4	80	8	4	80	8	240000	536875950	1	0	2
39	4	80	9	4	80	9	270000	536875950	1	0	2
40	4	80	10	4	80	10	300000	536875950	1	0	3
41	4	80	11	4	80	11	350000	536875950	2	0	5
42	4	80	12	4	80	12	400000	536875950	2	0	6
43	4	80	13	4	80	13	500000	536875950	3	0	7
44	4	80	14	4	80	14	1000000	536875950	5	0	10
45	4	80	15	4	80	15	2000000	536875950	10	0	12
46	3	80	1	3	90	1	150000	536875950	1	0	1
47	3	80	2	3	90	1	120000	536875950	1	0	1
48	3	80	3	3	90	2	150000	536875950	1	0	1
49	3	80	4	3	90	3	180000	536875950	1	0	1
50	3	80	5	3	90	4	210000	536875950	2	0	2
51	3	80	6	3	90	5	240000	536875950	2	0	2
52	3	80	7	3	90	6	270000	536875950	3	0	3
53	3	80	8	3	90	7	300000	536875950	3	0	4
54	3	80	9	3	90	8	400000	536875950	3	0	7
55	3	80	10	3	90	9	500000	536875950	5	0	9
56	3	80	11	3	90	10	700000	536875950	7	0	11
57	3	80	12	3	90	11	1000000	536875950	10	0	15
58	3	80	13	3	90	12	1800000	536875950	12	0	25
59	3	80	14	3	90	13	3000000	536875950	15	0	70
60	3	80	15	3	90	14	5000000	536875950	25	0	200
61	4	80	1	3	90	1	30000	0	0	0	1
62	4	80	2	3	90	2	60000	0	0	0	1
63	4	80	3	3	90	3	90000	0	0	0	1
64	4	80	4	3	90	4	120000	0	0	0	1
65	4	80	5	3	90	5	150000	0	0	0	2
66	4	80	6	3	90	6	180000	0	0	0	2
67	4	80	7	3	90	7	210000	0	0	0	2
68	4	80	8	3	90	8	240000	536875950	1	0	2
69	4	80	9	3	90	9	270000	536875950	1	0	2
70	4	80	10	3	90	10	300000	536875950	1	0	3
71	4	80	11	3	90	11	350000	536875950	2	0	5
72	4	80	12	3	90	12	400000	536875950	2	0	6
73	4	80	13	3	90	13	500000	536875950	3	0	7
74	4	80	14	3	90	14	1000000	536875950	5	0	10
75	4	80	15	3	90	15	2000000	536875950	10	0	12
91	3	90	1	3	90	1	30000	0	0	0	1
92	3	90	2	3	90	2	60000	0	0	0	1
93	3	90	3	3	90	3	90000	0	0	0	1
94	3	90	4	3	90	4	120000	0	0	0	1
95	3	90	5	3	90	5	150000	0	0	0	2
