ROWID	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_HistoryTitleNameID|INTEGER	_Emblem|INTEGER	_Notice|BOOLEAN	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_Count|INTEGER	_MailID|INTEGER	_Activate|INTEGER
1	1000096224	1000096226	1000096226	0	true	4	13	805308649	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	2556	1
2	1000073931	1000073940	1000073949	3	true	4	13	268452930	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	2557	1
3	1000096225	1000096226	1000096226	2	true	3	3	14504	0	4	4	0	59	5	4	0	0	0	0	0	0	false	1	2558	1
4	1000073933	1000073942	1000073951	4	true	9	96	3	4	0	0	0	0	0	0	0	0	0	0	0	0	false	500	4146	1
5	1000073934	1000073943	1000073952	9	true	4	51	64	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5000	2560	1
6	1000073935	1000078439	1000073953	15	true	63	20	3859	0	1	40	4	0	0	0	0	0	0	0	0	0	false	1	2561	1
7	1000073937	1000078440	1000073955	6	true	6	30	12	4	1	40	4	0	0	0	0	0	0	0	0	0	false	1	2587	1
8	1000073938	1000073947	1000073956	1	true	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	100	2588	1
9	1000165093	1000096226	1000096226	7	true	3	3	13631	0	0	0	0	0	0	0	0	0	0	0	0	0	false	200	4147	1
10	1000074550	1000074551	1000074553	16	true	79	98	30000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	2589	1
11	1000083688	1000083768	1000083690	22	true	36	53	22	0	74	1	0	0	0	0	0	0	0	0	0	0	false	500	2761	1
12	1000161916	1000096226	1000096226	10	true	3	1	93	4	45	21	0	0	0	0	0	0	0	0	0	0	false	500	3697	1
13	1000161917	1000096226	1000096226	24	true	4	13	268475470	4	13	268475474	5	0	0	0	0	0	0	0	0	0	false	1000	3698	1
14	1000137543	1000137547	1000137551	25	true	63	20	5007	0	0	0	0	0	0	0	0	0	0	0	0	0	true	300	4355	1
15	1000137544	1000137548	1000137552	26	true	63	20	5007	0	0	0	0	0	0	0	0	0	0	0	0	0	true	500	4356	1
16	1000137545	1000137549	1000137553	27	true	63	20	5007	0	0	0	0	0	0	0	0	0	0	0	0	0	true	800	4357	1
17	1000137546	1000137550	1000137554	28	true	63	20	5007	0	0	0	0	0	0	0	0	0	0	0	0	0	true	1000	4358	1
18	1000138153	1000138156	1000138159	29	true	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	500	4396	1
19	1000138154	1000138157	1000138160	30	true	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3000	4397	1
20	1000138155	1000138158	1000138161	31	true	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10000	4398	1
21	1000147700	1000145948	1000147703	32	true	63	20	5040	0	0	0	0	0	0	0	0	0	0	0	0	0	true	100	4773	1
22	1000147701	1000145949	1000147704	33	true	63	20	5040	0	0	0	0	0	0	0	0	0	0	0	0	0	true	500	4774	1
23	1000147702	1000145950	1000147705	34	true	63	20	5040	0	0	0	0	0	0	0	0	0	0	0	0	0	true	2500	4775	1
24	1000150473	1000150475	1000150477	44	true	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1000	5011	1
25	1000150474	1000150476	1000150478	45	true	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5000	5012	1
26	1000149618	1000149630	1000149642	35	true	4	13	536880440	0	0	0	0	0	0	0	0	0	0	0	0	0	false	50	4972	1
27	1000149619	1000149631	1000149643	36	true	4	13	536880441	0	0	0	0	0	0	0	0	0	0	0	0	0	false	50	4973	1
28	1000149620	1000149632	1000149644	37	true	4	13	536880440	0	0	0	0	0	0	0	0	0	0	0	0	0	false	200	4974	1
29	1000149621	1000149633	1000149645	38	true	4	13	536880441	0	0	0	0	0	0	0	0	0	0	0	0	0	false	200	4975	1
30	1000149626	1000149638	1000149650	39	true	3	3	14893	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	4980	1
31	1000149627	1000149639	1000149651	40	true	3	3	14762	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	4981	1
32	1000149628	1000149640	1000149652	41	true	3	3	14764	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	4982	1
33	1000149629	1000149641	1000149653	42	true	3	3	14534	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	4983	1
34	1000150204	1000150206	1000150208	43	true	3	3	14534	0	0	0	0	0	0	0	0	0	0	0	0	0	false	15	5003	1
35	1000162040	1000162044	1000162048	46	true	36	3	10024	0	74	1	0	0	0	0	0	0	0	0	0	0	false	50	5567	1
36	1000162041	1000162045	1000162049	47	true	36	3	10024	0	74	1	0	0	0	0	0	0	0	0	0	0	false	200	5568	1
37	1000162042	1000162046	1000162050	48	true	36	3	10024	0	74	1	0	0	0	0	0	0	0	0	0	0	false	500	5569	1
38	1000162043	1000162047	1000162051	49	true	36	3	10024	0	74	1	0	0	0	0	0	0	0	0	0	0	false	5000	5570	1
