ROWID	_MapID|INTEGER	_Different|INTEGER	_Attack|INTEGER	_Hp|INTEGER
11	14569	4	40000	600000
12	14661	2	70000	1000000
13	14665	1	30000	450000
21	14570	4	40000	600000
22	14662	2	70000	1000000
23	14666	1	30000	450000
31	14417	4	60000	1200000
32	14420	4	80000	1300000
33	14423	1	45000	900000
41	14671	4	80000	1200000
42	14676	2	120000	1400000
43	14687	1	60000	900000
53	14711	2	100000	1300000
54	14721	0	130000	1600000
61	14679	4	70000	1300000
62	14680	2	90000	1600000
63	14685	1	52000	975000
71	14681	4	85000	1550000
72	14682	2	105000	1700000
73	14686	1	63000	1162500
81	14801	4	100000	1530000
82	14811	2	130000	1710000
83	14821	1	75000	1147500
91	14690	4	120000	1620000
92	14693	2	140000	1710000
93	14697	1	90000	1215000
103	14861	2	160000	1670000
104	14865	0	180000	1900000
111	14600	4	140000	1480000
112	14602	2	252000	2000000
113	14604	3	500000	3400000
121	14606	4	150000	1550000
122	14608	2	265000	2100000
123	14610	3	525000	3570000
131	14612	4	270000	1860000
132	14614	2	477000	2520000
133	14616	3	945000	4284000
141	14618	4	270000	1860000
142	14620	2	477000	2520000
143	14622	3	945000	4284000
