ROWID	_SkinID|INTEGER	_NeedJobClass|TEXT	_Player_SkinName|INTEGER	_HelmetShowLevel|INTEGER	_IgnoreCombine|BOOLEAN
1	10134	1	35938	0	false
2	10135	1	37607	1	false
3	10136	1	35939	1	false
4	10137	1	35940	1	false
5	10138	1	35849	1	false
6	10134	2	35850	0	false
7	10135	2	37608	1	false
8	10135	2	35852	1	false
9	10137	2	35853	1	false
10	10138	2	35854	1	false
11	10134	3	35855	0	false
12	10135	3	35856	1	false
13	10136	3	35857	1	false
14	10137	3	35858	1	false
15	10138	3	35859	1	false
16	10134	4	35860	0	false
17	10135	4	37609	1	false
18	10136	4	35862	1	false
19	10137	4	35863	1	false
20	10138	4	35864	1	false
21	10134	5	35865	0	false
22	10135	5	35866	1	false
23	10136	5	35867	1	false
24	10137	5	35868	1	false
25	10138	5	35869	1	false
26	10134	6	35870	0	false
27	10135	6	35871	1	false
28	10136	6	35872	1	false
29	10137	6	35873	1	false
30	10138	6	35874	1	false
31	10134	7	35875	0	false
32	10135	7	37610	1	false
33	10136	7	35877	1	false
34	10137	7	35878	1	false
35	10138	7	35879	1	false
36	10134	8	35880	0	false
37	10135	8	35881	1	false
38	10136	8	35882	1	false
39	10137	8	35887	1	false
40	10138	8	35884	1	false
41	10139	1	8523	1	false
42	10139	2	5608	1	false
43	10139	3	7754	1	false
44	10139	4	6869	1	false
45	10139	5	5295	1	false
46	10139	6	18627	1	false
47	10139	7	24377	1	false
48	10139	8	31716	1	false
49	10139	9	37576	1	false
50	10140	1	8526	1	false
51	10140	2	5611	1	false
52	10140	3	7757	1	false
53	10140	4	6872	1	false
54	10140	5	5298	1	false
55	10140	6	18628	1	false
56	10140	7	24378	1	false
57	10140	8	31717	1	false
58	10140	9	39046	1	false
59	10141	1	8525	1	false
60	10141	2	5610	1	false
61	10141	3	7756	1	false
62	10141	4	6871	1	false
63	10141	5	5297	1	false
64	10141	6	18629	1	false
65	10141	7	24379	1	false
66	10141	8	31718	1	false
67	10141	9	39045	1	false
68	10142	1	8524	1	false
69	10142	2	5609	1	false
70	10142	3	7755	1	false
71	10142	4	6870	1	false
72	10142	5	5296	1	false
73	10142	6	18630	1	false
74	10142	7	24380	1	false
75	10142	8	31719	1	false
76	10142	9	39044	1	false
77	10000	1	9321	1	false
78	10001	1	9324	1	false
79	10002	1	9323	1	false
80	10003	1	9322	1	false
81	10000	2	6304	1	false
82	10001	2	6307	1	false
83	10002	2	6306	1	false
84	10003	2	6305	1	false
85	10000	3	8386	1	false
86	10001	3	8389	1	false
87	10002	3	8388	1	false
88	10003	3	8387	1	false
89	10000	4	7475	1	false
90	10001	4	7478	1	false
91	10002	4	7477	1	false
92	10003	4	7476	1	false
93	10000	5	5430	1	false
94	10001	5	5433	1	false
95	10002	5	5432	1	false
96	10003	5	5431	1	false
97	10000	6	18163	1	false
98	10001	6	18166	1	false
99	10002	6	18172	1	false
100	10003	6	18169	1	false
101	10000	7	22438	1	false
102	10001	7	22449	1	false
103	10002	7	22445	1	false
104	10003	7	22442	1	false
105	10000	8	32124	1	false
106	10001	8	32127	1	false
107	10002	8	32126	1	false
108	10003	8	32125	1	false
109	10000	9	37576	1	false
