ROWID	_ElementDragonJewel|INTEGER	_CharacterPassiveSkill|INTEGER	_TotalSkillPassiveSkill|INTEGER	_DragonJewelSkill|INTEGER	_OriginSkill|INTEGER	_ItemPassiveSkill|INTEGER	_GlyphSkill|INTEGER	_CostumeNormalSkill|INTEGER	_CostumeChangeSkill|INTEGER	_SkillGlyph|INTEGER	_SkillLevelUpParts|INTEGER	_SkillLevelupGlyph|INTEGER	_SkillLevelupWeapon|INTEGER	_SkillEnchant|INTEGER	_PetSkill|INTEGER	_ItemRunePotential|INTEGER
1	1	0	0	1	1	0	0	1	1	0	0	0	0	2	1	1
2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
3	1	0	0	1	1	0	0	1	1	0	0	0	0	2	1	1
4	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1
5	1	0	0	1	1	0	0	1	1	0	0	0	0	2	1	1
6	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
7	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
8	0	1	0	0	0	1	1	0	0	1	0	0	0	2	1	0
9	1	0	1	1	1	0	0	1	1	0	0	0	0	2	1	1
10	1	1	1	0	0	1	1	0	0	1	0	0	0	2	1	0
11	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
16	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
18	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
19	1	0	0	1	0	0	1	0	0	1	0	0	0	2	1	1
20	1	0	1	1	1	0	1	1	1	1	1	1	1	2	1	1
21	1	0	1	1	1	0	1	1	1	1	1	1	1	2	1	1
22	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
23	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1
24	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1
25	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
