ROWID	PvPRank|INTEGER	PvPRankEXP|INTEGER	PvPRankIMG|TEXT	PvPRankUIString|INTEGER	RankType|INTEGER	PVPRankValue|TEXT
1	1	1		120202	0	0
2	2	300		122001	0	0
3	3	600		122002	0	0
4	4	1100		122003	0	0
5	5	2600		122004	0	0
6	6	4100		122005	0	0
7	7	6500		122006	0	0
8	8	9500		122007	0	0
9	9	12500		122008	0	0
10	10	18500		122009	0	0
11	11	26000		122010	0	0
12	12	33500		122011	0	0
13	13	42500		122012	0	0
14	14	51500		122013	0	0
15	15	60500		122014	0	0
16	16	0		122015	1	51;100
17	17	0		122016	1	41;50
18	18	0		122017	1	31;40
19	19	0		122018	1	21;30
20	20	0		122019	1	11;20
21	21	0		122020	1	6;10
22	22	0		122021	1	0;5
23	23	0		122022	2	42;101
24	24	0		122023	2	12;41
25	25	0		122024	2	2;11
26	26	0		122025	2	0;1
