ROWID	_UIResourceName1|TEXT	_UIResourceName2|TEXT
1073741833	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073743737	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073743741	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073743846	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073759036	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073770233	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073774538	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073780056	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073791224	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073784795	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073782096	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073782099	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073782097	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073782100	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073782255	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073784763	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073785091	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073792251	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073795160	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073797228	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073801703	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073805069	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073808744	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073812167	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073812168	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073811700	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073811699	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073813462	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073813463	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073813464	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073815475	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073815500	ChatCash_Event01.ui	ChatCash_EventParty01.ui
1073818166	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073818170	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073818178	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073818182	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073826026	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073826121	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073826122	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073827104	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073828153	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073828163	ChatCash_Event03.ui	ChatCash_EventParty03.ui
1073829838	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073829839	ChatCash_Normal01.ui	ChatCash_Party01.ui
805309067	ChatCash_Event04.ui	ChatCash_EventParty04.ui
1073831568	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073842322	ChatCash_Event03.ui	ChatCash_EventParty03.ui
1073842323	ChatCash_Event03.ui	ChatCash_EventParty03.ui
1073845368	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073845877	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073845878	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073849838	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073851425	ChatCash_Event03.ui	ChatCash_EventParty03.ui
1073852297	ChatCash_Event06.ui	ChatCash_EventParty06.ui
805309515	ChatCash_Event07.ui	ChatCash_EventParty07.ui
1073852304	ChatCash_Event05.ui 	ChatCash_EventParty05.ui 
1073852305	ChatCash_Event05.ui 	ChatCash_EventParty05.ui 
1073852458	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073853565	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073853566	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073853892	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073857474	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073856910	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073858533	ChatCash_Event02.ui	ChatCash_EventParty02.ui
805309908	ChatCash_Event08.ui	ChatCash_EventParty08.ui
1073859442	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073859661	ChatCash_Event06.ui	ChatCash_EventParty06.ui
1073859662	ChatCash_Event06.ui	ChatCash_EventParty06.ui
1073859524	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073860234	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073860235	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073860598	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073861461	ChatCash_Event05.ui	ChatCash_EventParty05.ui
805309975	ChatCash_Event09.ui	ChatCash_EventParty09.ui
1073862359	ChatCash_Event10.ui	ChatCash_EventParty10.ui
1073864036	ChatCash_Event11.ui	ChatCash_EventParty11.ui
1073864129	ChatCash_Event12.ui	ChatCash_EventParty12.ui
1073864434	ChatCash_Event05.ui	ChatCash_EventParty05.ui
1073866860	ChatCash_Event13.ui	ChatCash_EventParty13.ui
1073866881	ChatCash_Event11.ui	ChatCash_EventParty11.ui
1073864594	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073868598	ChatCash_Event03.ui	ChatCash_EventParty03.ui
