ROWID	_GachaNum|INTEGER	_LinkedDrop1|INTEGER	_LinkedDrop2|INTEGER	_LinkedDrop3|INTEGER	_LinkedDrop4|INTEGER	_LinkedDrop5|INTEGER	_LinkedDrop6|INTEGER
1	1	306005001	306005501	306006001	306006501	306007001	0
2	1	306505001	306505501	306506001	306506501	306507001	0
3	1	307005001	307005501	307006001	307006501	307007001	0
4	1	307505001	307505501	307506001	307506501	307507001	0
5	2	306010001	306010501	306011001	306011501	306012001	0
6	2	306510001	306510501	306511001	306511501	306512001	0
7	2	307010001	307010501	307011001	307011501	307012001	0
8	2	307510001	307510501	307511001	307511501	307512001	0
9	3	306015001	306015501	306016001	306016501	306017001	0
10	3	306515001	306515501	306516001	306516501	306517001	0
11	3	307015001	307015501	307016001	307016501	307017001	0
12	3	307515001	307515501	307516001	307516501	307517001	0
13	4	306020001	306020501	306021001	306021501	306022001	0
14	4	306520001	306520501	306521001	306521501	306522001	0
15	4	307020001	307020501	307021001	307021501	307022001	0
16	4	307520001	307520501	307521001	307521501	307522001	0
