ROWID	_ImprintingType|INTEGER
71000100	1
71000101	1
71000102	1
71000103	1
71000104	1
71000105	1
71000106	1
71000218	1
71000219	1
805806368	1
805806369	1
805806370	1
805806371	1
805806372	1
805806373	1
805806374	1
805806375	1
805806376	1
805806377	1
805806378	1
805806379	1
805806380	1
805806381	1
805806382	1
805806383	1
805806384	1
805806385	1
805806386	1
805307016	1
805307017	1
805307018	1
805308894	1
805308895	1
805309819	1
805309820	1
805308014	1
805308015	1
805308378	1
805308379	1
805308380	1
805308381	1
805308382	1
805308383	1
805308384	1
805308385	1
805308386	1
805308387	1
805308388	1
805308389	1
805308390	1
805308391	1
805308392	1
805308393	1
805308394	1
805308395	1
805308396	1
805309054	1
805309055	1
805309056	1
805309575	1
805309576	1
805309577	1
805309578	1
805309579	1
805309580	1
805309581	1
805309582	1
805309583	1
805309584	1
805309585	1
805309586	1
805309587	1
805309588	1
805309589	1
805309590	1
805307795	1
805307796	1
805307797	1
805307798	1
805307799	1
805307800	1
805307801	1
805307802	1
805307803	1
805307804	1
805307805	1
805307806	1
805307807	1
805307808	1
805307809	1
805307810	1
805307811	1
805307812	1
805307813	1
805307814	1
805307815	1
805307816	1
805308204	1
805308205	1
805308437	1
805308942	1
805308943	1
805308206	1
805308207	1
805308208	1
805308209	1
805308210	1
805308211	1
805308212	1
805308213	1
805308214	1
805308215	1
805308216	1
805308217	1
805308218	1
805308219	1
805308220	1
805308221	1
805308222	1
805308223	1
805308224	1
805308225	1
805308226	1
805308227	1
805308228	1
805308229	1
805308438	1
805308944	1
805308945	1
805309852	1
805309853	1
805309854	1
805309855	1
805309856	1
805309857	1
805310763	1
805310764	1
805310765	1
805310766	1
805310767	1
805310768	1
805310769	1
805310770	1
805310771	1
805310772	1
805310773	1
805310774	1
805310775	1
805310776	1
805310777	1
805310778	1
805310779	1
805310780	1
805310781	1
805310782	1
805310783	1
805310784	1
805310785	1
805310786	1
805310787	1
805310788	1
805310789	1
805310790	1
805310791	1
805310792	1
805310793	1
805310794	1
805310795	1
805310796	1
805310797	1
805310798	1
805310799	1
805310800	1
805310801	1
805310802	1
805310803	1
805310804	1
805310805	1
805310806	1
805310807	1
805310808	1
805310809	1
805310810	1
805310811	1
805310812	1
805310813	1
805310814	1
805310815	1
805310816	1
805310817	1
805310818	1
805310819	1
805310820	1
805310821	1
805310822	1
805310823	1
805310824	1
805310825	1
805310826	1
805310827	1
805310828	1
805310829	1
805310830	1
805310831	1
805310832	1
805310833	1
805310834	1
805310835	1
805310836	1
805310837	1
805310838	1
805311117	1
805311118	1
805311119	1
805311120	1
805311121	1
805311122	1
805311123	1
805311124	1
805311127	1
805311128	1
805311129	1
805311130	1
805311131	1
805311132	1
805311133	1
805311134	1
805312321	1
805312322	1
805312494	1
805312495	1
805312496	1
805312497	1
805312498	1
805312499	1
805312500	1
805312501	1
805312502	1
805312503	1
805312504	1
805312505	1
1073759018	2
1073759021	2
1073759028	2
1073791267	2
1073791278	2
1073791279	2
1073774536	2
1073774537	2
71000000	2
71000010	2
71000001	2
71000011	2
71000002	2
71000012	2
71000003	2
71000013	2
71000217	2
71000225	2
71000226	2
71000227	2
71000228	2
805306451	2
805306453	2
805306454	2
805306455	2
805306456	2
805306457	2
805306458	2
805306459	2
805306460	2
805306461	2
805306462	2
805306463	2
805306464	2
805306465	2
805306466	2
805306467	2
805306468	2
805306469	2
805306470	2
805306471	2
805306472	2
805306473	2
805306474	2
805306475	2
805306476	2
805306477	2
805306478	2
805306479	2
805306480	2
805306481	2
805306482	2
805306483	2
805306484	2
805306485	2
805306486	2
805306487	2
805306488	2
805306489	2
805306490	2
805306491	2
805306492	2
805306493	2
805306494	2
805306495	2
805306498	2
805306499	4
805306500	2
805306501	4
805306502	2
805306503	4
805306504	2
805306505	4
805306508	2
805306509	2
805306510	2
805306511	2
805306512	2
805306513	2
805306514	2
805306515	2
805306516	2
805306518	2
805306519	2
805306531	2
805306604	2
805306606	2
805306617	2
805306618	2
805306619	2
805306620	2
805306621	2
805306622	2
805306623	2
805306624	2
805306625	2
805306626	2
805306627	2
805306628	2
805306629	2
805306630	2
805306631	2
805306632	2
805306637	4
805306638	4
805306639	4
805306640	4
805306641	4
805306642	4
805306643	4
805306644	4
805306645	4
805306646	4
805306647	4
805306648	4
805306649	4
805306650	4
805306651	4
805306652	4
805306653	4
805306654	4
805306655	4
805306656	4
805306657	4
805306658	4
805306659	4
805306660	4
805306661	4
805306662	4
805306663	4
805306664	4
805306665	4
805306666	4
805306667	4
805306668	4
805306692	2
805306693	2
805306694	2
805306695	2
805306696	2
805306697	2
805306698	2
805306699	2
805306700	2
805306701	2
805306702	2
805306703	2
805306704	2
805306705	2
805306706	2
805306707	2
805306708	2
805306709	2
805306710	2
805306711	2
805306712	2
805306713	2
805306719	2
805306720	2
805306721	2
805306722	2
805306723	2
805306724	2
805306725	2
805306727	2
805306728	2
805306736	2
805306737	2
805306735	2
805306746	2
805306747	2
805306748	2
805306749	2
805306799	2
805306884	2
805306939	2
805306986	2
805306987	2
805307012	2
805307019	2
805307020	2
805307021	2
805307022	2
805307023	2
805307037	2
805307038	2
805307076	2
805307078	2
805307111	2
805307112	2
805307113	2
805307118	2
805307119	2
805307135	2
805307136	2
805307137	2
805307138	2
805307139	2
805307140	2
805307147	2
805307361	2
805307149	2
805307179	2
805307180	2
805307209	2
805307210	2
805307223	2
805307224	2
805307239	2
805307240	2
805307241	2
805307242	2
805307243	2
805307457	2
805307467	2
805307477	2
805307478	2
805307479	2
805307480	2
805307481	2
805307482	2
805307483	2
805307484	2
805307485	2
805307486	2
805307487	2
805307488	2
805307489	2
805307490	2
805307491	2
805307492	2
805307493	2
805307494	2
805307553	2
805307554	2
805307555	2
805307676	2
805307680	2
805307681	2
805307682	2
805307683	2
805307684	2
805307685	2
805307686	2
805307687	2
805307688	2
805307689	2
805307690	2
805307691	2
805307692	2
805307693	2
805307694	2
805307695	2
805307696	2
805307697	2
805307698	2
805307699	2
805307700	2
805307701	2
805307702	2
805307703	2
805307704	2
805307705	2
805307706	2
805307707	2
805307708	2
805307709	2
805307712	2
805307713	2
805307739	2
805307740	2
805307741	2
805307775	2
805307776	2
805307777	2
805307787	2
805307794	2
805307872	2
805307875	2
805307951	2
805307985	2
805307988	2
805308016	2
805308017	2
805308018	2
805308019	2
805308020	2
805308067	2
805308128	4
805308129	4
805308130	4
805308131	4
805308132	4
805308133	4
805308134	4
805308270	2
805308271	2
805308272	2
805308273	2
805308281	2
805308297	2
805308307	2
805308308	2
805308309	2
805308353	2
805308354	2
805308355	2
805308356	2
805308357	2
805308358	2
805308359	2
805308360	2
805308361	2
805308362	2
805308363	2
805308364	2
805308365	2
805308366	2
805308367	2
805308368	2
805308369	2
805308370	2
805308371	2
805308372	2
805308373	2
805308374	2
805308375	2
805308376	2
805308377	2
805308401	2
805308402	2
805308403	2
805308404	2
805308423	2
805308425	2
805308535	2
805308536	2
