ROWID	_ImgTime|DOUBLE	_Type|INTEGER	_ImgIndex|INTEGER	_DescriptionID|INTEGER
4885	8.0	1	22	1000174977
3324	75.0	3	0	1000077137
3325	75.0	3	0	1000077137
3326	75.0	3	0	1000077137
3327	75.0	3	0	1000077137
3328	75.0	3	0	1000077137
3329	75.0	3	0	1000077137
3330	75.0	3	0	1000077137
3331	225.0	3	0	1000137869
3332	225.0	3	0	1000137869
3333	225.0	3	0	1000137869
3334	225.0	3	0	1000137869
3335	225.0	3	0	1000137869
3336	225.0	3	0	1000137869
5204	225.0	1	22	1000164229
5205	225.0	1	22	1000164230
5225	225.0	1	22	1000164231
5496	225.0	1	22	1000177151
5497	225.0	1	57	1000177152
5498	225.0	1	22	1000177151
5499	225.0	1	57	1000177152
5500	225.0	1	57	1000177152
5501	225.0	1	22	1000177151
5502	225.0	1	103	1000177153
5503	225.0	1	22	1000177151
5504	225.0	1	103	1000177153
5505	225.0	1	103	1000177153
5506	225.0	1	103	1000177153
5507	225.0	1	22	1000177154
