ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
1000000	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	600	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100000	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000001	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	601	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100001	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000002	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	602	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100002	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000003	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	603	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100003	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000004	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	604	1.15	1.2		0	0	0	0	0	0	0	0.0	0.0	100004	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000005	0		1	2	0	3	3	0	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	330	0.0	605	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100005	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000006	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	100	0.0	5204	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	100			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false				false	0	false	true	158	0	0	0	0	0
1000009	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	200	0.0	5204	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	100			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false				false	0	false	true	158	0	0	0	0	0
1000093	0		1	2	10000000	3	3	100000	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	200	0.0	210093	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100093	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	1	0	0	0	0	0
1000094	0		1	2	10000000	3	3	100000	3	3	0	0	500	0	500	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	200	0.0	210094	0.95	1.0		0	0	0	0	0	0	0	0.0	0.0	100094	0	0	0	0	0	2000			0.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	false	0	0	1	false	false	false		SwapGhost	Rebirth	false	0	false	true	9	0	0	0	0	0
