ROWID	_Type|INTEGER	_VIPGrade|INTEGER	_PCcafeGrade|INTEGER	_Param|INTEGER	_MaxFTG|INTEGER	_Maxover|INTEGER	_Resetday|INTEGER	_ResetParam|INTEGER
1	0	0	0	3600	10800	0	0	0
2	1	0	0	0	1500	0	1	1500
3	1	0	1	1500	1500	0	1	1500
4	1	0	3	1500	1500	0	1	1500
5	1	0	2	1500	1500	0	1	1500
6	1	0	4	1500	1500	0	1	1500
7	1	0	5	1500	1500	0	1	1500
8	2	0	0	0	1500	0	1	1500
9	2	0	1	1500	1500	0	1	1500
10	2	0	3	1500	1500	0	1	1500
11	2	0	2	1500	1500	0	1	1500
12	2	0	4	1500	1500	0	1	1500
13	2	0	5	1500	1500	0	1	1500
14	4	0	0	300	300	0	1	300
