ROWID	_CheckPetID|INTEGER	_CheckPetLevel|INTEGER	_VehicleClassID|TEXT	_PetIcon|INTEGER	_VehicleActorID|INTEGER	_PetChatID|INTEGER	_ChangeMark|BOOLEAN
5	1073858385	60	122	14468	85064	13	true
6	1073864061	60	124	14539	85070	15	true
7	1073871120	60	128	14579	85075	17	true
8	1073879476	60	130	14684	85078	19	true
9	1073888340	60	134	14837	85084	22	true
10	1073893190	60	137	14928	85093	24	true
11	1073898906	60	140	15011	85096	26	true
12	1073900683	60	143	13936	85101	8	false
13	1073900684	60	145	13986	85103	11	false
24	1073904628	60	147	15120	85107	28	true
25	1073907770	60	150	15227	85111	30	true
27	1073908528	60	152	15265	85113	32	true
28	1073908529	60	152	15265	85113	32	true
