ROWID	_ControlType|INTEGER	_CategoryType|INTEGER	_LowCategorySection|INTEGER	_LowCategoryType|INTEGER	_LowCategory|INTEGER	_DefultKey01|INTEGER	_DefultKey02|INTEGER	_ConversionCheck|BOOLEAN	_MonitorOutput|BOOLEAN
1	0	0	0	0	3135	17	0	true	true
2	0	0	0	1	3136	31	0	true	true
3	0	0	0	2	3137	30	0	true	true
4	0	0	0	3	3138	32	0	true	true
5	0	0	0	4	3164	18	0	true	true
6	0	0	0	5	3139	57	0	true	true
7	0	0	0	6	3141	33	0	true	true
8	0	0	0	7	3142	19	0	true	true
9	0	0	0	8	3106	51	0	true	true
10	0	0	0	9	102046	29	0	true	true
11	0	0	0	10	0	56	0	false	false
12	0	0	0	11	0	26	0	false	false
13	0	0	0	12	0	27	0	false	false
14	0	0	0	13	3140	15	0	false	true
15	0	0	0	14	102007	69	0	false	true
16	0	0	0	15	3160	0	0	false	false
17	0	0	0	16	3161	0	0	false	false
18	0	0	0	17	3165	42	0	false	true
19	0	0	0	18	102009	0	0	false	false
20	0	0	0	19	102010	0	0	false	false
21	0	0	0	20	102011	0	0	false	false
22	0	0	0	21	102012	0	0	false	false
23	0	0	0	22	102013	0	0	false	false
24	0	0	0	23	102014	0	0	false	false
25	0	0	0	24	1000089890	211	0	true	true
26	0	1	1	0	3145	2	0	true	true
27	0	1	1	1	3146	3	0	true	true
28	0	1	1	2	3147	4	0	true	true
29	0	1	1	3	3148	5	0	true	true
30	0	1	1	4	3149	6	0	true	true
31	0	1	1	5	3150	7	0	true	true
32	0	1	1	6	3151	8	0	true	true
33	0	1	1	7	3152	9	0	true	true
34	0	1	1	8	3153	10	0	true	true
35	0	1	1	9	3154	11	0	true	true
36	0	2	1	10	5103	25	0	true	true
37	0	2	1	11	1301	24	0	true	true
38	0	2	1	12	5125	23	0	true	true
39	0	2	1	13	401	22	0	true	true
40	0	2	1	14	62	37	0	true	true
41	0	2	1	15	4688	38	0	true	true
42	0	2	1	16	5111	50	0	true	true
43	0	2	1	17	304	35	0	true	true
44	0	2	1	18	8119	46	0	true	true
45	0	2	1	19	3201	21	0	true	true
46	0	2	1	20	3144	41	0	true	true
47	0	2	1	21	3143	20	0	true	true
48	0	2	1	22	1000041144	16	0	true	true
49	0	2	1	23	102045	1	0	false	true
50	0	2	1	24	3203	47	0	true	true
51	0	2	1	25	201	36	0	true	true
52	0	2	1	26	126237	48	0	true	true
53	0	2	1	27	1000041467	45	0	true	true
54	0	2	1	28	3179	49	0	true	true
55	0	2	1	29	5007	34	0	true	true
56	0	2	1	30	140451	53	0	true	true
57	0	1	1	31	1000055925	12	0	true	true
58	0	1	1	32	1000055926	13	0	true	true
59	0	2	1	33	1000073195	211	0	true	false
60	0	2	1	34	8877	207	0	true	false
61	0	2	1	35	9423	199	0	true	true
62	0	2	1	36	9531	210	0	true	false
63	0	2	1	37	9881	207	0	true	true
64	0	2	1	38	9961	210	0	true	true
65	0	2	1	39	140040	0	0	true	true
66	0	2	1	40	1000098917	201	0	true	true
67	0	2	1	41	1000098918	209	0	true	true
69	0	0	1	43	1000161778	88	0	true	true
101	1	0	0	0	3135	0	255	false	true
102	1	0	0	1	3136	1	255	false	true
103	1	0	0	2	3137	2	255	false	true
104	1	0	0	3	3138	3	255	false	true
105	1	0	0	4	3164	24	255	false	true
106	1	0	0	5	3139	16	255	false	true
107	1	0	0	6	3141	5	255	false	true
108	1	0	0	7	3142	23	255	false	true
109	1	0	0	8	3106	25	255	false	true
110	1	0	0	9	102046	12	255	false	true
111	1	0	0	10	0	255	255	false	false
112	1	0	0	11	0	255	255	false	false
113	1	0	0	12	0	255	255	false	false
114	1	0	0	13	3140	22	255	false	true
115	1	0	0	14	102007	21	255	false	true
116	1	0	0	15	3160	18	255	false	true
117	1	0	0	16	3161	19	255	false	true
118	1	0	0	17	3165	17	255	false	true
119	1	0	0	18	102009	8	255	false	true
120	1	0	0	19	102010	9	255	false	true
121	1	0	0	20	102011	6	255	false	true
122	1	0	0	21	102012	7	255	false	true
123	1	0	0	22	102013	255	255	false	true
124	1	0	0	23	102014	255	255	false	true
125	1	1	1	0	3145	20	16	false	true
126	1	1	1	1	3146	20	18	false	true
127	1	1	1	2	3147	20	17	false	true
128	1	1	1	3	3148	20	19	false	true
129	1	1	1	4	3149	20	21	false	true
130	1	1	1	5	3150	20	22	false	true
