ROWID	_Level|INTEGER	_CheckItemID01|INTEGER	_CheckItemID02|INTEGER	_CheckItemID03|INTEGER	_CheckItemID04|INTEGER	_CheckItemID05|INTEGER
1	2	1073756669	0	0	0	0
2	3	1073756670	0	0	0	0
3	4	1073756671	0	0	0	0
4	5	1073756672	0	0	0	0
5	6	1073756673	0	0	0	0
6	7	1073756674	0	0	0	0
7	8	1073756675	0	0	0	0
8	9	1073756676	0	0	0	0
9	10	1073756677	0	0	0	0
10	11	1073756678	0	0	0	0
11	12	1073756679	0	0	0	0
12	13	1073756680	0	0	0	0
13	14	1073756681	0	0	0	0
14	15	1073756682	0	0	0	0
15	16	1073756683	0	0	0	0
16	17	1073756684	0	0	0	0
17	18	1073756685	0	0	0	0
18	19	1073756686	0	0	0	0
19	20	1073756687	0	0	0	0
20	21	1073756688	0	0	0	0
21	22	1073756689	0	0	0	0
22	23	1073756690	0	0	0	0
23	24	1073756691	0	0	0	0
24	25	1073756692	0	0	0	0
25	26	1073756693	0	0	0	0
26	27	1073756694	0	0	0	0
27	28	1073756695	0	0	0	0
28	29	1073756696	0	0	0	0
29	30	1073756697	0	0	0	0
30	31	1073756698	0	0	0	0
31	32	1073756699	0	0	0	0
32	33	1073756700	0	0	0	0
33	34	1073756701	0	0	0	0
34	35	1073756702	0	0	0	0
35	36	1073756703	0	0	0	0
36	37	1073756704	0	0	0	0
37	38	1073756705	0	0	0	0
38	39	1073756706	0	0	0	0
39	40	1073756707	0	0	0	0
40	41	1073756708	0	0	0	0
41	42	1073756709	0	0	0	0
42	43	1073756710	0	0	0	0
43	44	1073756711	0	0	0	0
44	45	1073756712	0	0	0	0
45	46	1073756713	0	0	0	0
46	47	1073756714	0	0	0	0
47	48	1073756715	0	0	0	0
48	49	1073756716	0	0	0	0
49	50	1073756717	0	0	0	0
50	51	1073756718	0	0	0	0
51	52	1073756719	0	0	0	0
52	53	1073756720	0	0	0	0
53	54	1073756721	0	0	0	0
54	55	1073756722	0	0	0	0
55	56	1073756723	0	0	0	0
56	57	1073756724	0	0	0	0
57	58	1073756725	0	0	0	0
58	59	1073756726	0	0	0	0
59	60	1073756727	0	0	0	0
60	61	1073757721	0	0	0	0
61	62	1073784386	0	0	0	0
62	63	1073784387	0	0	0	0
63	64	1073784388	0	0	0	0
64	65	1073784389	0	0	0	0
65	66	1073784390	0	0	0	0
66	67	1073784391	0	0	0	0
67	68	1073784392	0	0	0	0
68	69	1073784393	0	0	0	0
69	70	1073784394	0	0	0	0
70	71	1073784395	0	0	0	0
71	72	1073823490	0	0	0	0
72	73	1073823491	0	0	0	0
73	74	1073823492	0	0	0	0
74	75	1073823493	0	0	0	0
75	76	1073823494	0	0	0	0
76	77	1073823495	0	0	0	0
77	78	1073823496	0	0	0	0
78	79	1073823497	0	0	0	0
79	80	1073823498	0	0	0	0
