ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_CompoundGroupID|INTEGER	_CompoundPotentialID|INTEGER	_Possibility|DOUBLE	_Cost|INTEGER	_TimeRequired|DOUBLE	_SuccessType1|INTEGER	_SuccessItemID1|INTEGER	_FailType1|INTEGER	_FailItemID1|INTEGER	_Slot1Id|INTEGER	_Slot1Num|INTEGER	_Slot2Id|INTEGER	_Slot2Num|INTEGER	_Slot3Id|INTEGER	_Slot3Num|INTEGER	_Slot4Id|INTEGER	_Slot4Num|INTEGER	_Slot5Id|INTEGER	_Slot5Num|INTEGER	_CompoundPreliminaryID|INTEGER	_Explanation|INTEGER	_Kind|INTEGER	_SuccessAwardItem1|INTEGER
482476032	0	0	0	0	1.0	10000	4000.0	-1	482476032	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482607104	0	0	0	0	1.0	10000	4000.0	-1	482607104	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482738176	0	0	0	0	1.0	10000	4000.0	-1	482738176	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482869248	0	0	0	0	1.0	10000	4000.0	-1	482869248	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483000320	0	0	0	0	1.0	10000	4000.0	-1	483000320	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483131392	0	0	0	0	1.0	10000	4000.0	-1	483131392	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
478281728	0	0	0	0	1.0	10000	4000.0	-1	478281728	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482344960	0	0	0	0	1.0	10000	4000.0	-1	482344960	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483655680	0	0	0	0	1.0	10000	4000.0	-1	483655680	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483262464	0	0	0	0	1.0	10000	4000.0	-1	483262464	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483393536	0	0	0	0	1.0	10000	4000.0	-1	483393536	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483786752	0	0	0	0	1.0	10000	4000.0	-1	483786752	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483917824	0	0	0	0	1.0	10000	4000.0	-1	483917824	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486670336	0	0	0	0	1.0	10000	4000.0	-1	486670336	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486801408	0	0	0	0	1.0	10000	4000.0	-1	486801408	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484048896	0	0	0	0	1.0	10000	4000.0	-1	484048896	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484179968	0	0	0	0	1.0	10000	4000.0	-1	484179968	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484311040	0	0	0	0	1.0	10000	4000.0	-1	484311040	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
