ROWID	MapID|INTEGER	StartTime|TEXT	EndTime|TEXT
1	13634	2019:7:12:20:0:0	2019:7:12:22:0:0
2	13634	2019:7:13:14:0:0	2019:7:13:16:0:0
3	13634	2019:7:13:21:0:0	2019:7:13:23:0:0
4	13634	2019:7:14:14:0:0	2019:7:14:16:0:0
5	13634	2019:7:14:21:0:0	2019:7:14:23:0:0
6	13634	2019:7:15:20:0:0	2019:7:15:22:0:0
7	13634	2019:7:16:20:0:0	2019:7:16:22:0:0
8	13634	2019:7:18:20:0:0	2019:7:18:22:0:0
9	13634	2019:7:19:20:0:0	2019:7:19:22:0:0
10	13634	2019:7:20:14:0:0	2019:7:20:16:0:0
11	13634	2019:7:20:21:0:0	2019:7:20:23:0:0
12	13634	2019:7:21:14:0:0	2019:7:21:16:0:0
13	13634	2019:7:21:21:0:0	2019:7:21:23:0:0
14	13634	2019:7:22:20:0:0	2019:7:22:22:0:0
15	13634	2019:7:23:20:0:0	2019:7:23:22:0:0
16	13634	2019:7:25:20:0:0	2019:7:25:22:0:0
17	13634	2019:7:26:20:0:0	2019:7:26:22:0:0
18	13634	2019:7:27:14:0:0	2019:7:27:16:0:0
19	13634	2019:7:27:21:0:0	2019:7:27:23:0:0
20	13634	2019:7:28:14:0:0	2019:7:28:16:0:0
21	13634	2019:7:28:21:0:0	2019:7:28:23:0:0
22	13634	2019:7:29:20:0:0	2019:7:29:22:0:0
23	13634	2019:7:30:20:0:0	2019:7:30:22:0:0
24	13634	2019:8:1:20:0:0	2019:8:1:22:0:0
25	13634	2019:8:2:20:0:0	2019:8:2:22:0:0
26	13634	2019:8:3:14:0:0	2019:8:3:16:0:0
27	13634	2019:8:3:21:0:0	2019:8:3:23:0:0
28	13634	2019:8:4:14:0:0	2019:8:4:16:0:0
29	13634	2019:8:4:21:0:0	2019:8:4:23:0:0
30	13634	2019:8:5:20:0:0	2019:8:5:22:0:0
31	13634	2019:8:6:20:0:0	2019:8:6:22:0:0
1001	13630	2020:2:14:20:0:0	2020:2:14:22:0:0
1002	13630	2020:2:15:14:0:0	2020:2:15:16:0:0
1003	13630	2020:2:15:21:0:0	2020:2:15:23:0:0
1004	13630	2020:2:16:14:0:0	2020:2:16:16:0:0
1005	13630	2020:2:16:21:0:0	2020:2:16:23:0:0
1006	13630	2020:2:17:20:0:0	2020:2:17:22:0:0
1007	13630	2020:2:18:20:0:0	2020:2:18:22:0:0
1008	13630	2020:2:20:20:0:0	2020:2:20:22:0:0
1009	13630	2020:2:21:20:0:0	2020:2:21:22:0:0
1010	13630	2020:2:22:14:0:0	2020:2:22:16:0:0
1011	13630	2020:2:22:21:0:0	2020:2:22:23:0:0
1012	13630	2020:2:23:14:0:0	2020:2:23:16:0:0
1013	13630	2020:2:23:21:0:0	2020:2:23:23:0:0
1014	13630	2020:2:24:20:0:0	2020:2:24:22:0:0
1015	13630	2020:2:25:20:0:0	2020:2:25:22:0:0
1016	13630	2020:2:27:20:0:0	2020:2:27:22:0:0
1017	13630	2020:2:28:20:0:0	2020:2:28:22:0:0
1018	13630	2020:2:29:14:0:0	2020:2:29:16:0:0
1019	13630	2020:2:29:21:0:0	2020:2:29:23:0:0
1020	13630	2020:3:1:14:0:0	2020:3:1:16:0:0
1021	13630	2020:3:1:21:0:0	2020:3:1:23:0:0
1022	13630	2020:3:2:20:0:0	2020:3:2:22:0:0
1023	13630	2020:3:3:20:0:0	2020:3:3:22:0:0
