ROWID	_TargetItemGroupID|INTEGER	_ItemID|INTEGER
1	1	268466559
2	1	268466560
3	1	268466561
4	1	268466562
5	1	268466563
6	1	268466564
7	1	268466565
8	1	268466566
9	1	268466567
10	1	268466568
11	1	268466569
12	1	268466570
13	1	268466571
14	1	268466572
15	1	268466573
16	1	268466574
17	1	268466575
18	1	268466576
19	1	268466577
20	1	268466578
21	1	268466579
22	1	268466580
23	1	268466581
24	1	268466582
25	1	268466583
26	1	268466584
27	1	268466585
28	1	268466586
29	1	268466587
30	1	268466588
31	1	268466589
32	1	268466590
33	1	268466591
34	1	268466592
35	1	268466593
36	1	268466594
37	1	268466595
38	1	268466596
39	1	268466597
40	1	268466598
41	1	268466599
42	1	268466600
43	1	268466601
44	1	268466602
45	1	268466603
46	1	268466604
47	1	268466605
48	1	268466606
49	1	268466607
50	1	268466608
51	1	268466609
52	1	268466610
53	1	268466611
54	1	268466612
55	1	268466613
56	1	268466614
57	1	268466615
58	1	268466616
59	1	268466617
60	1	268466618
61	1	268466619
62	1	268466620
63	1	268466621
64	1	268466622
65	1	268466623
66	1	268466624
67	1	268466625
68	1	268466626
69	1	268466627
70	1	268466628
71	1	268466629
72	1	268466630
73	1	268466631
74	1	268466632
75	1	268466633
76	1	268466634
77	1	268466635
78	1	268466636
79	1	268466637
80	1	268466638
81	1	268466639
82	1	268466640
83	1	268466641
84	1	268466642
85	1	268466643
86	1	268466644
87	1	268466645
88	1	268468268
89	1	268468269
90	1	268468270
91	1	268468271
92	1	268468272
93	1	268468273
94	1	268468274
95	1	268468275
96	1	268468276
97	1	268468277
98	1	268468278
99	1	268468279
100	1	268468280
101	1	268468281
102	1	268468282
103	1	268468283
104	1	268468284
105	1	268468285
106	1	268468286
107	1	268468287
108	1	268468288
109	1	268468289
110	1	268468290
111	1	268468291
112	1	268468292
113	1	268468293
114	1	268468294
115	1	268468295
116	1	268468296
117	1	268466975
118	1	268466976
119	1	268466977
120	1	268466978
121	1	268466979
122	1	268466980
123	1	268466981
124	1	268466982
125	1	268466983
126	1	268466984
127	1	268466985
128	1	268466986
129	1	268466987
130	1	268466988
131	1	268466989
132	1	268466990
133	1	268466991
134	1	268466992
135	1	268466993
136	1	268466994
137	1	268466995
138	1	268466996
139	1	268466997
140	1	268466998
141	1	268466999
142	1	268467000
143	1	268467001
144	1	268467002
145	1	268467003
146	1	268468303
147	1	268468304
148	1	268468305
149	1	268468306
150	1	268468307
151	1	268468308
152	1	268468309
153	1	268468310
154	1	268468311
155	1	268468312
156	1	268468313
157	1	268468314
158	1	268468315
159	1	268468316
160	1	268468317
161	1	268468318
162	1	268468319
163	1	268468320
164	1	268468321
165	1	268468322
166	1	268468323
167	1	268468324
168	1	268468325
169	1	268468326
170	1	268468327
171	1	268468328
172	1	268468329
173	1	268468330
174	1	268468331
175	1	268468670
176	1	268468671
177	1	268468672
178	1	268468673
179	1	268468674
180	1	268468675
181	1	268468676
182	1	268468677
183	1	268468678
184	1	268468679
185	1	268468680
186	1	268468681
187	1	268468682
188	1	268468683
189	1	268468684
190	1	268468685
191	1	268468686
192	1	268468687
193	1	268468688
194	1	268468689
195	1	268468690
196	1	268468691
197	1	268468692
198	1	268468693
199	1	268468694
200	1	268468695
201	1	268468696
202	1	268468697
203	1	268468698
204	1	268466646
205	1	268466647
206	1	268466648
207	1	268466649
208	1	268466650
209	1	268466651
210	1	268466652
211	1	268466653
212	1	268466654
213	1	268466655
214	1	268466656
215	1	268466657
216	1	268466658
217	1	268466659
218	1	268466660
219	1	268467004
220	1	268467005
221	1	268467006
222	1	268467007
223	1	268467008
224	1	268468332
225	1	268468333
226	1	268468334
227	1	268468335
228	1	268468336
229	1	268468699
230	1	268468700
231	1	268468701
232	1	268468702
233	1	268468703
234	1	268475891
235	1	268475892
236	1	268475893
237	1	268475894
238	1	268475895
239	1	268475896
240	1	268475897
241	1	268475898
242	1	268475899
243	1	268475900
244	1	268475901
245	1	268475902
246	1	268475903
247	1	268475904
248	1	268475905
249	1	268475906
250	1	268475907
251	1	268475908
252	1	268475909
253	1	268475910
254	1	268475911
255	1	268475912
256	1	268475913
257	1	268475914
258	1	268475915
259	1	268475916
260	1	268475917
261	1	268475918
262	1	268475919
263	1	268476472
264	1	268476473
265	1	268476474
266	1	268476475
267	1	268476476
268	1	268476477
269	1	268476478
270	1	268476479
271	1	268476480
272	1	268476481
273	1	268476482
274	1	268476483
275	1	268476484
276	1	268476485
277	1	268476486
278	1	268476487
279	1	268476488
280	1	268476489
281	1	268476490
282	1	268476491
283	1	268476492
284	1	268476493
285	1	268476494
286	1	268476495
287	1	268476496
288	1	268476497
289	1	268476498
290	1	268476499
291	1	268476500
292	1	268477635
293	1	268481174
294	1	268475949
