ROWID	_MercenaryName|INTEGER	_Grade|INTEGER	_MercenaryLevelType|INTEGER	_MonsterID|INTEGER	_AutoRecallRange|INTEGER	_MercenaryImage|TEXT	_MercenaryChatGroup|INTEGER	_MercenaryMovie|TEXT	_CameraDistance|INTEGER	_CameraWidth|INTEGER	_CameraHeight|INTEGER	_CameraPosY|INTEGER	_Gold|INTEGER	_MercenaryFaceImage|TEXT	_HowtoGain|INTEGER
1	1000079900	1	4	58250	2000	Mer_BeginnerGoblin_Y.dds	5	Mer_Goblin.avi	150	100	100	40	10	Mer_Magic_Goblin_Y_Face.dds	1000164104
2	1000079901	1	4	58252	2000	Mer_BeginnerOrc_Y.dds	2	Mer_Orc.avi	150	150	150	57	10	Mer_Magic_Orc_Y_Face.dds	1000164104
3	1000079902	1	4	58254	2000	Mer_BeginnerKwakOrc_Y.dds	4	Mer_KwakOrc.avi	150	150	150	57	10	Mer_Magic_KwakOrc_Y_Face.dds	1000164104
1000	1000056221	2	1	58224	2000	Mer_Jasmin_Y.dds	1	Mer_Jasmin.avi	150	130	130	50	20	Mer_Jasmin_Y_Face.dds	1000164105
1001	1000003226	2	1	58226	2000	Mer_Orc_Y.dds	2	Mer_Orc.avi	150	150	150	57	20	Mer_Orc_Y_Face.dds	1000164105
1002	1000000494	2	1	58230	2000	Mer_Darkelf_Y.dds	3	Mer_Darkelf.avi	150	140	140	55	20	Mer_Darkelf_Y_Face.dds	1000164105
1003	1000003576	2	1	58228	2000	Mer_KwakOrc_Y.dds	4	Mer_KwakOrc.avi	150	150	150	57	20	Mer_KwakOrc_Y_Face.dds	1000164105
1004	1000003507	2	1	58232	2000	Mer_Goblin_Y.dds	5	Mer_Goblin.avi	150	100	100	40	20	Mer_Goblin_Y_Face.dds	1000164105
1005	1000079712	2	1	58214	2000	Mer_Hopgoblin_Y.dds	6	Mer_Hopgoblin.avi	150	230	230	87	20	Mer_Hopgoblin_Y_Face.dds	1000164105
1006	1000079713	2	1	58212	2000	Mer_MeteorFairyQueen_Y.dds	7	Mer_MeteorFairyQueen.avi	150	190	190	75	20	Mer_MeteorFairyQueen_Y_Face.dds	1000164105
1007	1000000438	2	1	58234	2000	Mer_Ghoul_Y.dds	8	Mer_Ghoul.avi	150	100	100	40	20	Mer_Ghoul_Y_Face.dds	1000164105
1008	1000123032	2	1	58268	2000	Mer_Orc_Santa_Y.dds	4	Mer_SantaKwakOrc.avi	150	150	150	57	20	Mer_Orc_Santa_Y_Face.dds	140243
2000	1000068836	3	2	58216	2000	Mer_Nerwin_Y.dds	9	Mer_Nerwin_Y.avi	150	130	130	51	30	Mer_Nerwin_Y_Face.dds	1000164106
2001	1000068838	3	2	58222	2000	Mer_Cleric_Monster_Y.dds	10	Mer_Cleric_Monster.avi	150	120	120	47	30	Mer_Cleric_Monster_Y_Face.dds	1000164106
2002	1000068840	3	2	58220	2000	Mer_Warrior_Monster_Y.dds	11	Mer_Warrior_Monster.avi	150	120	120	47	30	Mer_Warrior_Monster_Y_Face.dds	1000164106
2003	1000068834	3	2	58218	2000	Mer_Soceress_Monster_Y.dds	12	Mer_Soceress_Monster.avi	150	130	130	53	30	Mer_Soceress_Monster_Y_Face.dds	1000164106
2004	1000015482	3	2	58236	2000	Mer_Battle_BlackSmith_Y.dds	13	Mer_Battle_BlackSmith.avi	150	210	210	85	30	Mer_Battle_BlackSmith_Y_Face.dds	1000164106
2005	1000042658	3	2	58210	2000	Mer_TyphoonKim_Y.dds	14	Mer_TyphoonKim.avi	150	330	330	130	30	Mer_TyphoonKim_Y_Face.dds	1000164106
2006	1000073827	3	2	58238	2000	Mer_Ogre_Ignacio_Y.dds	15	Mer_Ogre_Ignacio.avi	1000	420	420	160	30	Mer_Ogre_Ignacio_Y_Face.dds	1000164106
3000	1000000365	4	3	58242	2000	Mer_Ai_Velskud_Y.dds	16	Mer_Ai_Velskud.avi	150	165	165	65	0	Mer_Ai_Velskud_Y_Face.dds	1000164106
3001	1000000380	4	3	58244	2000	Mer_AI_Argenta_Battle_Y.dds	17	Mer_AI_Argenta_Battle.avi	150	130	130	50	0	Mer_AI_Argenta_Battle_Y_Face.dds	1000164106
3002	1000000390	4	3	58246	2000	Mer_Ai_Geraint_Y.dds	18	Mer_Ai_Geraint.avi	150	140	140	58	0	Mer_Ai_Geraint_Y_Face.dds	1000164106
3003	1000079714	4	3	58248	2000	Mer_Npc_white_dragon_Y.dds	19	Mer_Npc_white_dragon_Y.avi	150	140	140	55	0	Mer_Npc_white_dragon_Y_Face.dds	1000164106
3004	1000022022	4	3	58240	2000	Mer_karahan_dark_Y.dds	20	Mer_karahan_dark.avi	150	150	150	60	0	Mer_karahan_dark_Y_Face.dds	1000164106
3008	1000041809	4	3	58262	2000	Mer_AI_desert_dragon_Y.dds	21	Mer_AI_desert_dragon.avi	150	140	140	55	0	Mer_AI_desert_dragon_Y_Face.dds	140243
3010	1000121253	4	3	58266	2000	Mer_Vernika_Y.dds	22	Mer_Ai_Vernika.avi	150	165	165	65	0	Mer_Vernika_Y_Face.dds	140243
3011	1000099769	5	3	58270	2000	Mer_Rubinat_Y.dds	23	Mer_Rubinat.avi	150	165	165	65	0	Mer_Rubinat_Y_Face.dds	140243
3013	1000144024	5	3	58274	2000	Mer_White_dragon_Coat_Y.dds	19	Mer_Npc_white_dragon_Snow_Y.avi	150	140	140	55	0	Mer_White_dragon_Coat_Y_Face.dds	140243
3014	1000153731	5	3	58276	2000	Mer_Rubinat_Summer_Y.dds	23	Mer_Rubinat_Summer.avi	150	165	165	65	0	Mer_Rubinat_Summer_Y_Face.dds	140243
3016	1000057914	5	3	58280	2000	Mer_Lunaria_Y.dds	25	Mer_Lunaria.avi	150	140	140	55	0	Mer_Lunaria_Y_Face.dds	140243
3017	1000158597	5	3	58282	2000	Mer_Jasmin_Summer_Y.dds	26	Mer_Jasmin_Summer.avi	150	140	140	55	0	Mer_Jasmin_Summer_Y_Face.dds	140243
3019	1000171621	5	3	58286	2000	Mer_Vernika_Valentine_Y.dds	28	Mer_Ai_Vernika_Valentine.avi	150	140	140	55	0	Mer_Vernika_Valentine_Y_Face.dds	140243
3020	1000128993	6	3	58246	2000	Mer_Ai_Geraint_Gold_Y.dds	0		150	140	0	58	15000	Mer_Ai_Geraint_Gold_Y_Face.dds	140435
3021	1000154441	5	3	58289	2000	Mer_Jade_Battle_Y.dds	29	Mer_Ai_Jade.avi	150	140	140	55	0	Mer_Jade_Y_Face.dds	140243
