ROWID	_ItemID|INTEGER	_CompoundTableIndex1|INTEGER	_CompoundTableIndex2|INTEGER	_CompoundTableIndex3|INTEGER	_CompoundTableIndex4|INTEGER	_CompoundTableIndex5|INTEGER	_CompoundTableIndex6|INTEGER	_CompoundTableIndex7|INTEGER	_CompoundTableIndex8|INTEGER	_CompoundTableIndex9|INTEGER	_CompoundTableIndex10|INTEGER
268490908	268490908	268490906	268490907	0	0	0	0	0	0	0	0
268490947	268490947	268490910	268490911	0	0	0	0	0	0	0	0
268490949	268490949	268490914	268490915	0	0	0	0	0	0	0	0
268490950	268490950	268490916	268490917	0	0	0	0	0	0	0	0
268490951	268490951	268490918	268490919	0	0	0	0	0	0	0	0
268490952	268490952	268490920	268490921	0	0	0	0	0	0	0	0
268490953	268490953	268490922	268490923	0	0	0	0	0	0	0	0
268490954	268490954	268490924	268490925	0	0	0	0	0	0	0	0
268490955	268490955	268490926	268490927	0	0	0	0	0	0	0	0
268490960	268490960	268490936	268490937	0	0	0	0	0	0	0	0
268490961	268490961	268490938	268490939	0	0	0	0	0	0	0	0
268490962	268490962	268490941	268490942	0	0	0	0	0	0	0	0
268490964	268490964	268490945	268490946	0	0	0	0	0	0	0	0
268491028	268491028	268491018	268491019	0	0	0	0	0	0	0	0
268491029	268491029	268491020	268491021	0	0	0	0	0	0	0	0
268491030	268491030	268491022	268491023	0	0	0	0	0	0	0	0
268491031	268491031	268491024	268491025	0	0	0	0	0	0	0	0
268491032	268491032	268491026	268491027	0	0	0	0	0	0	0	0
268491683	268491683	268491660	268491661	0	0	0	0	0	0	0	0
268491684	268491684	268491662	268491663	0	0	0	0	0	0	0	0
268491651	268491651	268491641	268491642	0	0	0	0	0	0	0	0
268491652	268491652	268491643	268491644	0	0	0	0	0	0	0	0
268491653	268491653	268491645	268491646	0	0	0	0	0	0	0	0
268491685	268491685	268491664	268491665	0	0	0	0	0	0	0	0
268491686	268491686	268491666	268491667	0	0	0	0	0	0	0	0
268491654	268491654	268491647	268491648	0	0	0	0	0	0	0	0
268491687	268491687	268491668	268491669	0	0	0	0	0	0	0	0
268491688	268491688	268491670	268491671	0	0	0	0	0	0	0	0
268491689	268491689	268491672	268491673	0	0	0	0	0	0	0	0
268491692	268491692	268491678	268491679	0	0	0	0	0	0	0	0
268491655	268491655	268491649	268491650	0	0	0	0	0	0	0	0
268476109	268476109	268490610	268490611	0	0	0	0	0	0	0	0
268441938	268441938	268441852	268441853	0	0	0	0	0	0	0	0
268449463	268449463	268449393	268449394	0	0	0	0	0	0	0	0
342170263	342170263	445467521	0	0	0	0	0	0	0	0	0
342138519	342138519	441404289	0	0	0	0	0	0	0	0	0
342200983	342200983	449399681	0	0	0	0	0	0	0	0	0
268483047	268483047	268481828	268481829	0	0	0	0	0	0	0	0
342166989	342166989	445048448	445048449	0	0	0	0	0	0	0	0
342135245	342135245	440985216	440985217	0	0	0	0	0	0	0	0
342198733	342198733	449111680	449111681	0	0	0	0	0	0	0	0
268483048	268483048	268481830	268481831	0	0	0	0	0	0	0	0
342166246	342166246	444953344	444953345	0	0	0	0	0	0	0	0
342134502	342134502	440890112	440890113	0	0	0	0	0	0	0	0
342197990	342197990	449016576	449016577	0	0	0	0	0	0	0	0
268483049	268483049	268481832	268481833	0	0	0	0	0	0	0	0
268442501	268442501	268442369	268442370	0	0	0	0	0	0	0	0
268442502	268442502	268442371	268442372	0	0	0	0	0	0	0	0
268442503	268442503	268442373	268442374	0	0	0	0	0	0	0	0
268483050	268483050	268481834	268481835	0	0	0	0	0	0	0	0
341902944	341902944	411175296	0	0	0	0	0	0	0	0	0
268444786	268444786	268444680	0	0	0	0	0	0	0	0	0
268451859	268451859	268451827	0	0	0	0	0	0	0	0	0
268463151	268463151	268463032	0	0	0	0	0	0	0	0	0
268467772	268467772	268467750	0	0	0	0	0	0	0	0	0
341903968	341903968	411306368	0	0	0	0	0	0	0	0	0
341904992	341904992	411437440	0	0	0	0	0	0	0	0	0
341906016	341906016	411568512	0	0	0	0	0	0	0	0	0
341907040	341907040	411699584	0	0	0	0	0	0	0	0	0
341908064	341908064	411830656	0	0	0	0	0	0	0	0	0
268440779	268440779	268437298	0	0	0	0	0	0	0	0	0
268440780	268440780	268439576	0	0	0	0	0	0	0	0	0
268444787	268444787	268444681	0	0	0	0	0	0	0	0	0
341870176	341870176	406980992	0	0	0	0	0	0	0	0	0
268444788	268444788	268444682	0	0	0	0	0	0	0	0	0
268444789	268444789	268444683	0	0	0	0	0	0	0	0	0
341871200	341871200	407112064	0	0	0	0	0	0	0	0	0
341872224	341872224	407243136	0	0	0	0	0	0	0	0	0
341873248	341873248	407374208	0	0	0	0	0	0	0	0	0
341874272	341874272	407505280	0	0	0	0	0	0	0	0	0
341875296	341875296	407636352	0	0	0	0	0	0	0	0	0
341876320	341876320	407767424	0	0	0	0	0	0	0	0	0
268440781	268440781	268437299	0	0	0	0	0	0	0	0	0
268440782	268440782	268439577	0	0	0	0	0	0	0	0	0
341935712	341935712	415369600	0	0	0	0	0	0	0	0	0
341936736	341936736	415500672	0	0	0	0	0	0	0	0	0
341937760	341937760	415631744	0	0	0	0	0	0	0	0	0
341938784	341938784	415762816	0	0	0	0	0	0	0	0	0
268440783	268440783	268437300	0	0	0	0	0	0	0	0	0
268444790	268444790	268444684	0	0	0	0	0	0	0	0	0
268451860	268451860	268450154	0	0	0	0	0	0	0	0	0
268463152	268463152	268463033	0	0	0	0	0	0	0	0	0
268466751	268466751	268466725	0	0	0	0	0	0	0	0	0
268442970	268442970	268442926	0	0	0	0	0	0	0	0	0
268444791	268444791	268444685	0	0	0	0	0	0	0	0	0
268451861	268451861	268451828	0	0	0	0	0	0	0	0	0
268463153	268463153	268463034	0	0	0	0	0	0	0	0	0
268466875	268466875	268466858	0	0	0	0	0	0	0	0	0
268477806	268477806	268477764	268477765	0	0	0	0	0	0	0	0
268483051	268483051	268481836	268481837	0	0	0	0	0	0	0	0
341902464	341902464	411173376	0	0	0	0	0	0	0	0	0
268444792	268444792	268444686	0	0	0	0	0	0	0	0	0
268451862	268451862	268451829	0	0	0	0	0	0	0	0	0
268463154	268463154	268463035	0	0	0	0	0	0	0	0	0
268467773	268467773	268467751	0	0	0	0	0	0	0	0	0
341903488	341903488	411304448	0	0	0	0	0	0	0	0	0
341904512	341904512	411435520	0	0	0	0	0	0	0	0	0
341905536	341905536	411566592	0	0	0	0	0	0	0	0	0
341906560	341906560	411697664	0	0	0	0	0	0	0	0	0
341907584	341907584	411828736	0	0	0	0	0	0	0	0	0
268440784	268440784	268437301	0	0	0	0	0	0	0	0	0
268440785	268440785	268439578	0	0	0	0	0	0	0	0	0
268444793	268444793	268444687	0	0	0	0	0	0	0	0	0
341869696	341869696	406979072	0	0	0	0	0	0	0	0	0
268444794	268444794	268444688	0	0	0	0	0	0	0	0	0
