ROWID	_EnchantID|INTEGER	_EnchantLevel|INTEGER	_EnchantRatio|FLOAT	_BreakRatio|FLOAT	_MinDown|INTEGER	_MaxDown|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER	_NeedItemID3|INTEGER	_NeedItemCount3|INTEGER	_NeedItemID4|INTEGER	_NeedItemCount4|INTEGER	_NeedItemID5|INTEGER	_NeedItemCount5|INTEGER	_NeedCoin|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_FailResultDropItemTableID|INTEGER	_PotentialID|INTEGER	_PotentialRatio|FLOAT	_ActionChangeValue|INTEGER	_ProtectItemCount|INTEGER	_ShieldItemCount|INTEGER	_BreakProtectItemCount|INTEGER	_DisjointDrop|INTEGER	_RandFunction|INTEGER	_NeedPoint|INTEGER	_NeedPointCount|INTEGER	_GearScore|INTEGER	_ProtectType|INTEGER	_Msg|BOOLEAN	_Skill_ApplyType|INTEGER	_SkillID|INTEGER	_SkillLevel|INTEGER
49781	847257807	1	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1000	4	4.3966891325	5	5.95	6	3.59824201415	7	4.8673893961	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49782	847257807	2	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2000	4	8.793378265	5	11.9	6	7.1964840283	7	9.7347787922	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49783	847257807	3	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	3000	4	13.1900673975	5	17.85	6	10.79472604245	7	14.6021681883	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49784	847257807	4	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	4000	4	17.58675653	5	23.8	6	14.3929680566	7	19.4695575844	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49785	847257807	5	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	5000	4	21.9834456625	5	29.75	6	17.99121007075	7	24.3369469805	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49786	847257807	6	0.9	0.0	0	0	0	0	0	0	0	0	0	0	0	0	6000	4	26.380134795	5	35.7	6	21.5894520849	7	29.2043363766	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
49787	847257807	7	0.7	0.25	0	0	0	0	0	0	0	0	0	0	0	0	7000	4	35.17351306	5	47.6	6	28.7859361132	7	38.9391151688	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	1	1	0	0	0	1	0	0	0	0	false	0	0	0
49788	847257807	8	0.6	0.25	0	0	0	0	0	0	0	0	0	0	0	0	8000	4	43.966891325	5	59.5	6	35.9824201415	7	48.673893961	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	1	1	0	0	0	1	0	0	0	0	false	0	0	0
49789	847257807	9	0.5	0.25	0	1	0	0	0	0	0	0	0	0	0	0	9000	4	52.76026959	5	71.4	6	43.1789041698	7	58.4086727532	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	1	1	0	0	0	1	0	0	0	0	false	0	0	0
49790	847257807	10	0.4	0.25	0	1	0	0	0	0	0	0	0	0	0	0	10000	4	61.553647855	5	83.3	6	50.3753881981	7	68.1434515454	-1	0	-1	0	-1	0	-1	0	0		0		0	0	0.0	2	1	0	0	0	1	0	0	0	0	false	0	0	0
