ROWID	_MaxTime|INTEGER	_TargetMin|INTEGER	_TargetMax|INTEGER	_TargetSpeed|INTEGER	_TargetUpTime|INTEGER	_GetSkillPointSuccess|INTEGER	_GetSkillPointFailure|INTEGER	_SuccessProbability|INTEGER	_SuccessDrapID|INTEGER
1	40	25	40	20	125	160	10	0	555525012
2	40	30	45	20	125	160	10	0	555525012
3	40	35	50	20	125	160	10	0	555525012
4	40	40	55	20	125	160	10	0	555525012
5	40	45	60	20	125	160	10	0	555525012
6	40	50	65	20	125	160	10	0	555525012
7	40	55	70	20	125	160	10	0	555525012
8	40	60	75	20	125	160	10	0	555525012
9	40	65	80	20	125	160	10	0	555525012
10	40	70	85	20	125	160	10	0	555525012
11	40	15	40	20	125	160	10	0	555526262
12	40	20	45	20	125	160	10	0	555526262
13	40	25	50	20	125	160	10	0	555526262
14	40	30	55	20	125	160	10	0	555526262
15	40	35	60	20	125	160	10	0	555526262
16	40	40	65	20	125	160	10	0	555526262
17	40	45	70	20	125	160	10	0	555526262
18	40	50	75	20	125	160	10	0	555526262
19	40	55	80	20	125	160	10	0	555526262
20	40	60	85	20	125	160	10	0	555526262
21	40	22	42	20	125	160	10	0	555527512
22	40	26	46	20	125	160	10	0	555527512
23	40	30	50	20	125	160	10	0	555527512
24	40	34	54	20	125	160	10	0	555527512
25	40	38	58	20	125	160	10	0	555527512
26	40	42	62	20	125	160	10	0	555527512
27	40	46	66	20	125	160	10	0	555527512
28	40	50	70	20	125	160	10	0	555527512
29	40	54	74	20	125	160	10	0	555527512
30	40	58	78	20	125	160	10	0	555527512
31	40	25	40	20	125	160	10	0	555528762
32	40	30	45	20	125	160	10	0	555528762
33	40	35	50	20	125	160	10	0	555528762
34	40	40	55	20	125	160	10	0	555528762
35	40	45	60	20	125	160	10	0	555528762
36	40	50	65	20	125	160	10	0	555528762
37	40	55	70	20	125	160	10	0	555528762
38	40	60	75	20	125	160	10	0	555528762
39	40	65	80	20	125	160	10	0	555528762
40	40	70	85	20	125	160	10	0	555528762
41	40	10	50	25	900	200	20	0	167772162
42	40	15	55	25	900	200	20	0	167772162
43	40	20	60	25	900	200	20	0	167772162
44	40	25	65	25	900	200	20	0	167772162
45	40	30	70	25	900	200	20	0	167772162
46	40	35	75	25	900	200	20	0	167772162
47	40	40	80	25	900	200	20	0	167772162
48	40	45	85	25	900	200	20	0	167772162
49	40	50	90	25	900	200	20	0	167772162
50	40	55	95	25	900	200	20	0	167772162
