ROWID	_Mode|INTEGER	_JobID|INTEGER	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
1	23	1	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
2	23	2	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
3	23	3	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
4	23	4	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
5	23	5	6875000	6875000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
6	23	6	6875000	6875000	6180000	6180000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
7	23	7	6153750	6153750	6153750	6153750	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
8	23	8	6875000	6875000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
9	23	9	6837500	6837500	6837500	6837500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
10	23	11	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
11	23	12	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
12	23	75	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
13	23	14	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
14	23	15	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
15	23	17	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
16	23	18	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
17	23	20	6195000	6195000	4336500	4336500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
18	23	22	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
19	23	23	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
20	23	24	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
21	23	25	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
