ROWID	_MonsterTableIndex|INTEGER	_Difficulty|INTEGER	_CustomAI|TEXT	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_HPWeight|FLOAT	_AttackPMinWeight|FLOAT	_AttackPMaxWeight|FLOAT	_AttackMMinWeight|FLOAT	_AttackMMaxWeight|FLOAT	_DefensePWeight|FLOAT	_DefenseMWeight|FLOAT	_StiffWeight|FLOAT	_CriticalWeight|FLOAT	_StunWeight|FLOAT	_StiffResistanceWeight|FLOAT	_CriticalResistanceWeight|FLOAT	_StunResistanceWeight|FLOAT	_SuperAmmorWeight|FLOAT	_Element_Str_Weight|FLOAT	_Fire_Def_Weight|FLOAT	_Ice_Def_Weight|FLOAT	_Light_Def_Weight|FLOAT	_Dark_Def_Weight|FLOAT	_MoveSpeedWeight|INTEGER	_DownDelayWeight|FLOAT	_DurabilityWeight|FLOAT	_DeadDurabilityWeight|DOUBLE
1005716	789064643	0	AiTroll_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005717	789064644	0	AiTroll_Red_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005718	789064645	0	AiTroll_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005719	789064646	0	AiTroll_Red_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005720	789064647	0	AiTroll_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005721	789064648	0	AiTroll_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005722	789064649	0	AiTroll_Red_Abyss_Champ2.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005723	789064650	0	AiTroll_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005724	789064651	0	AiGoblin_Gold.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005725	789064697	0	AiWraith_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005726	789064698	0	AiWraith_Red_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005727	789064699	0	AiWraith_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005728	789064700	0	AiWraith_Red_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005729	789064701	0	AiWraith_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005730	789064702	0	AiWraith_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005731	789064703	0	AiWraith_Red_Abyss_Champ2.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005732	789064704	0	AiWraith_Red_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005733	789064705	0	AiGoblin_Gold.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005734	789065048	0	AiLamia_Blue_ANU_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005735	789065049	0	AiLamia_Blue_ANU_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005736	789065050	0	AiLamia_Blue_ANU_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005737	789065051	0	AiLamia_Blue_ANU_Abyss_Champ1.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
1005738	789065052	0	AiLamia_Blue_ANU_Abyss.lua	0.0	0.0	0.66	0.66	0.66	0.66	0.66	1.0	1.0	0.4	0.8	0.4	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.0
