ROWID	_PupilLevel|INTEGER	_PupilFeel|INTEGER	_FeelUPDecreaseRespect|INTEGER	_FeelDownDecreaseRespect|INTEGER	_MasterSuccessMailID|INTEGER	_MasterFailureMailID|INTEGER	_PupilSuccessMailID|INTEGER	_PupilFailureMailID|INTEGER
311	1	0	0	0	0	0	0	0
312	2	0	0	0	0	0	0	0
313	3	0	0	0	0	0	0	0
314	4	0	0	0	0	0	0	0
315	5	0	0	0	0	0	0	0
316	6	0	0	0	0	0	0	0
317	7	0	0	0	0	0	0	0
318	8	0	0	0	0	0	0	0
319	9	0	0	0	0	0	0	0
320	10	0	0	0	0	0	0	0
321	11	0	0	0	0	0	0	0
322	12	0	0	0	0	0	0	0
323	13	0	0	0	0	0	0	0
324	14	0	0	0	0	0	0	0
325	15	0	0	0	0	0	0	0
326	16	0	0	0	0	0	0	0
327	17	0	0	0	0	0	0	0
328	18	0	0	0	0	0	0	0
329	19	0	0	0	0	0	0	0
330	20	0	0	0	0	0	0	0
331	21	0	0	0	0	0	0	0
332	22	0	0	0	0	0	0	0
333	23	0	0	0	0	0	0	0
334	24	0	0	0	0	0	0	0
335	25	0	0	0	0	0	0	0
336	26	0	0	0	0	0	0	0
337	27	0	0	0	0	0	0	0
338	28	0	0	0	0	0	0	0
339	29	0	0	0	0	0	0	0
340	30	0	0	0	4997	4997	4993	4993
341	31	0	0	0	0	0	0	0
342	32	0	0	0	0	0	0	0
343	33	0	0	0	0	0	0	0
344	34	0	0	0	0	0	0	0
345	35	0	0	0	0	0	0	0
346	36	0	0	0	0	0	0	0
347	37	0	0	0	0	0	0	0
348	38	0	0	0	0	0	0	0
349	39	0	0	0	0	0	0	0
350	40	0	0	0	0	0	0	0
351	41	0	0	0	0	0	0	0
352	42	0	0	0	0	0	0	0
353	43	0	0	0	0	0	0	0
354	44	0	0	0	0	0	0	0
355	45	0	0	0	0	0	0	0
356	46	0	0	0	0	0	0	0
357	47	0	0	0	0	0	0	0
358	48	0	0	0	0	0	0	0
359	49	0	0	0	0	0	0	0
360	50	0	0	0	0	0	0	0
361	51	0	0	0	0	0	0	0
362	52	0	0	0	0	0	0	0
363	53	0	0	0	0	0	0	0
364	54	0	0	0	0	0	0	0
365	55	0	0	0	0	0	0	0
366	56	0	0	0	0	0	0	0
367	57	0	0	0	0	0	0	0
368	58	0	0	0	0	0	0	0
369	59	0	0	0	0	0	0	0
370	60	0	0	0	4998	4998	4994	4994
371	61	0	0	0	0	0	0	0
372	62	0	0	0	0	0	0	0
373	63	0	0	0	0	0	0	0
374	64	0	0	0	0	0	0	0
375	65	0	0	0	0	0	0	0
376	66	0	0	0	0	0	0	0
377	67	0	0	0	0	0	0	0
378	68	0	0	0	0	0	0	0
379	69	0	0	0	0	0	0	0
380	70	0	0	0	0	0	0	0
381	71	0	0	0	0	0	0	0
382	72	0	0	0	0	0	0	0
383	73	0	0	0	0	0	0	0
384	74	0	0	0	0	0	0	0
385	75	0	0	0	0	0	0	0
386	76	0	0	0	0	0	0	0
387	77	0	0	0	0	0	0	0
388	78	0	0	0	0	0	0	0
389	79	0	0	0	0	0	0	0
390	80	0	0	0	0	0	0	0
391	81	0	0	0	0	0	0	0
392	82	0	0	0	0	0	0	0
393	83	0	0	0	0	0	0	0
394	84	0	0	0	0	0	0	0
395	85	0	0	0	0	0	0	0
396	86	0	0	0	0	0	0	0
397	87	0	0	0	0	0	0	0
398	88	0	0	0	0	0	0	0
399	89	0	0	0	0	0	0	0
400	90	0	0	0	4999	4999	4995	4995
401	91	0	0	0	0	0	0	0
402	92	0	0	0	0	0	0	0
403	93	0	0	0	5000	5000	4996	4996
