ROWID	_MapID|INTEGER	_PvPGamemodeId|INTEGER	_EventAreaID|INTEGER	_ResourceAddTic|INTEGER	_AddTicResource|INTEGER	_ClickKeepTime|INTEGER	_CaptureKeepTime|INTEGER	_CaptureBounersBuffID|INTEGER	_ChaosCallGuardID|INTEGER	_CosmosCallGuardID|INTEGER	_SummonGuardVolume|INTEGER	_AttackerClickUIstring|INTEGER	_DefenderClickUIstring|INTEGER	_AttackCaptureUIstring|INTEGER	_DefendCaptureUIstring|INTEGER	_DefendSuccessUIstring|INTEGER	_AttackSuccessUIstring|INTEGER	_PropID|INTEGER	_FlagToolTipUIstring|INTEGER	_Cl_ResourceAddTic|INTEGER	_Cl_AddTicResource|INTEGER	_Cl_ClickKeepTime|INTEGER	_Cl_CaptureKeepTime|INTEGER	_Sound_Try|TEXT	_Sound_Complete|TEXT	_BaseName|INTEGER	_Cl_BGM|TEXT	_FriendCaptureMsg|INTEGER	_EnemyCaptureMsg|INTEGER	_ObserverRedTeamMsg|INTEGER	_ObserverBlueTeamMsg|INTEGER
1	11002	60	21	10000	20	10000	35000	0	0	0	0	126195	126201	126207	126213	1000029992	1000029998	1402	1000032463	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
2	11002	60	22	10000	20	10000	35000	0	0	0	0	126196	126202	126208	126214	1000029993	1000029999	1404	1000032464	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
3	11002	60	23	10000	20	10000	35000	0	0	0	0	126197	126203	126209	126215	1000029994	1000030000	1406	1000032465	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
4	11002	60	24	10000	20	10000	35000	0	0	0	0	126198	126204	126210	126216	1000029995	1000031335	1403	1000032466	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
5	11002	60	25	10000	20	10000	35000	0	0	0	0	126199	126205	126211	126217	1000029996	1000030002	1405	1000032467	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
6	16001	81	34	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	471	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
7	16001	81	35	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	472	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
8	16001	81	36	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	473	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
9	11002	61	21	10000	20	10000	35000	0	0	0	0	126195	126201	126207	126213	1000029992	1000029998	1402	1000032463	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
10	11002	61	22	10000	20	10000	35000	0	0	0	0	126196	126202	126208	126214	1000029993	1000029999	1404	1000032464	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
