ROWID	_Service|BOOLEAN	_Level|INTEGER	_Amount|INTEGER	_item|INTEGER	_itemCount|INTEGER	_Efficiency|DOUBLE	_Description|INTEGER	_Texture|TEXT	_Type|INTEGER
1	true	1	0	0	0	2.0	1000060526		2
2	true	1	0	0	0	1.75	1000060526		2
3	true	1	0	0	0	1.25	1000060526		2
4	true	1	0	0	0	1.0	1000060526		2
5	true	1	0	0	0	2.0	0		0
6	true	1	0	0	0	1.75	0		0
7	true	1	0	0	0	1.25	0		0
8	true	1	0	0	0	1.0	0		0
9	true	1	0	0	0	2.0	0		0
10	true	1	0	0	0	1.75	0		0
11	true	1	0	0	0	1.25	0		0
12	true	1	0	0	0	1.0	0		0
13	false	70	1000000	0	0	2.0	1000054948		1
14	false	70	875000	0	0	1.75	1000054948		1
15	false	70	625000	0	0	1.25	1000054948		1
16	false	70	500000	0	0	1.0	1000054948		1
17	false	70	1500000	0	0	2.0	1000054948		1
18	false	70	1312500	0	0	1.75	1000054948		1
19	false	70	937500	0	0	1.25	1000054948		1
20	false	70	750000	0	0	1.0	1000054948		1
21	false	70	2250000	0	0	2.0	1000054948		1
22	false	70	1968750	0	0	1.75	1000054948		1
23	false	70	1406250	0	0	1.25	1000054948		1
24	false	70	1125000	0	0	1.0	1000054948		1
