ROWID	_MapID|INTEGER	_Group|INTEGER	_StartTime|TEXT	_EndTime|TEXT
1	15109	1	2014:08:16:20:00:0	2014:08:16:20:30:0
2	15109	2	2014:08:17:20:00:0	2014:08:17:20:30:0
3	15109	3	2014:08:23:20:00:0	2014:08:23:20:30:0
4	15109	4	2014:08:24:20:00:0	2014:08:24:20:30:0
5	15109	5	2014:08:30:20:00:0	2014:08:30:20:30:0
6	15109	6	2014:08:31:20:00:0	2014:08:31:20:30:0
7	15109	7	2014:09:06:20:00:0	2014:09:06:20:30:0
8	15109	8	2014:09:07:20:00:0	2014:09:07:20:30:0
9	15109	9	2015:06:24:10:00:0	2015:06:24:12:00:0
10	15109	9	2015:06:24:15:00:0	2015:06:24:17:00:0
11	15109	10	2015:06:25:10:00:0	2015:06:25:12:00:0
12	15109	10	2015:06:25:15:00:0	2015:06:25:17:00:0
13	15109	11	2015:06:26:10:00:0	2015:06:26:12:00:0
14	15109	11	2015:06:26:15:00:0	2015:06:26:17:00:0
15	15109	12	2015:06:29:10:00:0	2015:06:29:12:00:0
16	15109	12	2015:06:29:15:00:0	2015:06:29:17:00:0
17	15109	13	2015:09:19:10:00:0	2015:09:19:18:00:0
18	15109	13	2015:09:19:23:00:0	2015:09:20:05:00:0
19	15109	14	2015:09:20:10:00:0	2015:09:20:18:00:0
20	15109	14	2015:09:20:23:00:0	2015:09:21:05:00:0
21	15109	15	2015:09:26:10:00:0	2015:09:26:18:00:0
22	15109	15	2015:09:26:23:00:0	2015:09:27:05:00:0
23	15109	16	2015:09:27:10:00:0	2015:09:27:18:00:0
24	15109	16	2015:09:27:23:00:0	2015:09:28:05:00:0
25	15109	17	2015:10:03:10:00:0	2015:10:03:18:00:0
26	15109	17	2015:10:03:23:00:0	2015:10:04:05:00:0
27	15109	18	2015:10:04:10:00:0	2015:10:04:18:00:0
28	15109	18	2015:10:04:23:00:0	2015:10:05:05:00:0
29	15109	19	2015:10:10:10:00:0	2015:10:10:18:00:0
30	15109	19	2015:10:10:23:00:0	2015:10:11:05:00:0
31	15109	20	2015:10:11:10:00:0	2015:10:11:18:00:0
32	15109	20	2015:10:11:23:00:0	2015:10:12:05:00:0
