ROWID	_CharmItemID|INTEGER	_Key1|INTEGER	_Key2|INTEGER	_Key3|INTEGER	_Key4|INTEGER	_Key5|INTEGER	_Key1cost|INTEGER	_Key2cost|INTEGER	_Key3cost|INTEGER	_Key4cost|INTEGER	_Key5cost|INTEGER
1	5000003	5000006	5000007	5000008	0	0	1	1	1	0	0
2	5000004	5000008	5000009	5000010	0	0	1	1	1	0	0
3	5000012	5000013	5000008	0	0	0	1	1	0	0	0
4	1073749010	1073749011	1073749012	0	0	0	1	1	0	0	0
5	1073764125	1073764126	0	0	0	0	1	0	0	0	0
6	805309477	805309476	0	0	0	0	1	0	0	0	0
7	805309478	805309476	0	0	0	0	1	0	0	0	0
8	805309479	805309476	0	0	0	0	1	0	0	0	0
9	805309480	805309476	0	0	0	0	1	0	0	0	0
10	805309481	805309476	0	0	0	0	1	0	0	0	0
11	805309482	805309476	0	0	0	0	1	0	0	0	0
12	805309483	805309476	0	0	0	0	1	0	0	0	0
13	805309484	805309476	0	0	0	0	1	0	0	0	0
14	805309485	805309476	0	0	0	0	1	0	0	0	0
15	805309486	805309476	0	0	0	0	1	0	0	0	0
16	805309487	805309476	0	0	0	0	1	0	0	0	0
17	805309488	805309476	0	0	0	0	1	0	0	0	0
18	805309489	805309476	0	0	0	0	1	0	0	0	0
19	805309490	805309476	0	0	0	0	1	0	0	0	0
20	805309491	805309476	0	0	0	0	1	0	0	0	0
21	805309492	805309476	0	0	0	0	1	0	0	0	0
22	805309493	805309476	0	0	0	0	1	0	0	0	0
23	805309494	805309476	0	0	0	0	1	0	0	0	0
24	805309495	805309476	0	0	0	0	1	0	0	0	0
25	1073888828	5000006	0	0	0	0	1	0	0	0	0
26	1073888829	5000006	0	0	0	0	1	0	0	0	0
27	1073888830	5000006	0	0	0	0	1	0	0	0	0
28	268476144	268476323	0	0	0	0	1	0	0	0	0
29	268476145	268476323	0	0	0	0	10	0	0	0	0
30	268476146	268476323	0	0	0	0	30	0	0	0	0
31	536876406	268476141	268476142	268476143	0	0	1	5	10	0	0
32	536876430	1073888725	1073888728	346031104	0	0	5	5	5	0	0
33	268476591	268476323	0	0	0	0	10	0	0	0	0
34	268476592	268476323	0	0	0	0	10	0	0	0	0
35	268476593	268476323	0	0	0	0	30	0	0	0	0
36	268476594	268476323	0	0	0	0	30	0	0	0	0
37	805310042	805310041	0	0	0	0	1	0	0	0	0
38	805310043	805310041	0	0	0	0	1	0	0	0	0
39	805310044	805310041	0	0	0	0	1	0	0	0	0
40	805310045	805310041	0	0	0	0	1	0	0	0	0
41	805310046	805310041	0	0	0	0	1	0	0	0	0
42	1073756543	1073756544	0	0	0	0	1	0	0	0	0
100	536878078	536878079	536881910	0	0	0	1	1	0	0	0
117	1073902926	1073902675	1073902676	0	0	0	1	1	0	0	0
118	1073902927	1073902675	1073902676	0	0	0	1	1	0	0	0
119	1073902935	1073902675	1073902676	0	0	0	1	1	0	0	0
120	1073902936	1073902675	1073902676	0	0	0	1	1	0	0	0
121	1073902944	1073902675	1073902676	0	0	0	1	1	0	0	0
122	1073902945	1073902675	1073902676	0	0	0	1	1	0	0	0
123	1073902953	1073902675	1073902676	0	0	0	1	1	0	0	0
124	1073902954	1073902675	1073902676	0	0	0	1	1	0	0	0
125	1073902962	1073902675	1073902676	0	0	0	1	1	0	0	0
126	1073902963	1073902675	1073902676	0	0	0	1	1	0	0	0
127	268477352	268476323	0	0	0	0	100	0	0	0	0
128	268477491	268476323	0	0	0	0	100	0	0	0	0
129	1073903877	1073903878	0	0	0	0	1	0	0	0	0
130	805311529	805311530	0	0	0	0	10	0	0	0	0
131	536878210	536878211	0	0	0	0	1	0	0	0	0
132	1073905110	1073905111	0	0	0	0	1	0	0	0	0
133	1073905592	1073905593	0	0	0	0	1	0	0	0	0
134	536878983	536878984	0	0	0	0	1	0	0	0	0
135	536879660	536878984	0	0	0	0	1	0	0	0	0
136	536879661	536878984	0	0	0	0	1	0	0	0	0
137	536879662	536878984	0	0	0	0	1	0	0	0	0
138	536879663	536878984	0	0	0	0	1	0	0	0	0
139	536879664	536878984	0	0	0	0	1	0	0	0	0
140	536879665	536878984	0	0	0	0	1	0	0	0	0
141	536879666	536878984	0	0	0	0	1	0	0	0	0
142	536879667	536878984	0	0	0	0	1	0	0	0	0
143	536879668	536878984	0	0	0	0	1	0	0	0	0
144	536879669	536878984	0	0	0	0	1	0	0	0	0
145	536879670	536878984	0	0	0	0	1	0	0	0	0
146	536879671	536878984	0	0	0	0	1	0	0	0	0
147	536879672	536878984	0	0	0	0	1	0	0	0	0
148	536879673	536878984	0	0	0	0	1	0	0	0	0
149	536879674	536878984	0	0	0	0	1	0	0	0	0
150	536879675	536878984	0	0	0	0	1	0	0	0	0
151	536879676	536878984	0	0	0	0	1	0	0	0	0
152	536879677	536878984	0	0	0	0	1	0	0	0	0
153	536879678	536878984	0	0	0	0	1	0	0	0	0
154	536879679	536878984	0	0	0	0	1	0	0	0	0
155	536879680	536878984	0	0	0	0	1	0	0	0	0
156	536879681	536878984	0	0	0	0	1	0	0	0	0
157	536879682	536878984	0	0	0	0	1	0	0	0	0
158	536879683	536878984	0	0	0	0	1	0	0	0	0
159	536879684	536878984	0	0	0	0	1	0	0	0	0
160	536879685	536878984	0	0	0	0	1	0	0	0	0
161	536879686	536878984	0	0	0	0	1	0	0	0	0
162	536879687	536878984	0	0	0	0	1	0	0	0	0
163	536879688	536878984	0	0	0	0	1	0	0	0	0
164	536879689	536878984	0	0	0	0	1	0	0	0	0
165	536879690	536878984	0	0	0	0	1	0	0	0	0
166	536879691	536878984	0	0	0	0	1	0	0	0	0
167	536879692	536878984	0	0	0	0	1	0	0	0	0
168	536879693	536878984	0	0	0	0	1	0	0	0	0
169	536879694	536878984	0	0	0	0	1	0	0	0	0
170	536879695	536878984	0	0	0	0	1	0	0	0	0
171	536879696	536878984	0	0	0	0	1	0	0	0	0
172	536879697	536878984	0	0	0	0	1	0	0	0	0
173	536879698	536878984	0	0	0	0	1	0	0	0	0
174	536879699	536878984	0	0	0	0	1	0	0	0	0
175	536879700	536878984	0	0	0	0	1	0	0	0	0
176	1073907757	1073907763	1073907764	0	0	0	1	1	0	0	0
177	1073907758	1073907763	1073907764	0	0	0	1	1	0	0	0
178	1073907759	1073907763	1073907764	0	0	0	1	1	0	0	0
179	1073907760	1073907763	1073907764	0	0	0	1	1	0	0	0
180	1073907761	1073907763	1073907764	0	0	0	1	1	0	0	0
181	536879848	536878984	0	0	0	0	1	0	0	0	0
182	536879849	536878984	0	0	0	0	1	0	0	0	0
187	1073908064	1073908065	0	0	0	0	1	0	0	0	0
188	536880126	268481579	0	0	0	0	1	0	0	0	0
189	536880127	268481580	0	0	0	0	1	0	0	0	0
190	536880128	268481581	0	0	0	0	1	0	0	0	0
191	536880129	268481582	0	0	0	0	1	0	0	0	0
192	268483774	268476323	0	0	0	0	30	0	0	0	0
193	268483772	268476323	0	0	0	0	30	0	0	0	0
194	536880267	536880268	0	0	0	0	1	0	0	0	0
195	268483987	268476323	0	0	0	0	1	0	0	0	0
196	268483988	268476323	0	0	0	0	10	0	0	0	0
197	268483989	268476323	0	0	0	0	30	0	0	0	0
198	1073909478	1073888725	1073888728	0	0	0	1	1	0	0	0
199	1073909479	1073888725	1073888728	0	0	0	1	1	0	0	0
200	1073909480	1073888725	1073888728	0	0	0	1	1	0	0	0
201	1073909481	1073888725	1073888728	0	0	0	1	1	0	0	0
202	1073909482	1073888725	1073888728	0	0	0	1	1	0	0	0
203	1073909483	1073888725	1073888728	0	0	0	1	1	0	0	0
204	1073909484	1073888725	1073888728	0	0	0	1	1	0	0	0
205	1073909485	1073888725	1073888728	0	0	0	1	1	0	0	0
206	1073909487	1073888725	1073888728	0	0	0	1	1	0	0	0
207	1073909488	1073888725	1073888728	0	0	0	1	1	0	0	0
208	1073909489	1073888725	1073888728	0	0	0	1	1	0	0	0
209	1073909490	1073888725	1073888728	0	0	0	1	1	0	0	0
210	1073909491	1073888725	1073888728	0	0	0	1	1	0	0	0
211	1073909492	1073888725	1073888728	0	0	0	1	1	0	0	0
212	1073909493	1073888725	1073888728	0	0	0	1	1	0	0	0
213	1073909494	1073888725	1073888728	0	0	0	1	1	0	0	0
214	536879971	536878984	0	0	0	0	1	0	0	0	0
215	536879972	536878984	0	0	0	0	1	0	0	0	0
216	536879973	536878984	0	0	0	0	1	0	0	0	0
217	536879974	536878984	0	0	0	0	1	0	0	0	0
