ROWID	_Rank|INTEGER	_Type|INTEGER	_ClassID|INTEGER	_Mail1|INTEGER	_Mail2|INTEGER	_Mail3|INTEGER	_Mail4|INTEGER	_Mail5|INTEGER
1	1	0	0	110001	2142	0	0	0
2	2	0	0	1946	2159	0	0	0
3	3	0	1	1949	327	0	0	0
4	3	0	2	1959	328	0	0	0
5	3	0	3	1961	329	0	0	0
6	3	0	4	1961	330	0	0	0
7	4	0	0	1501	2089	0	0	0
8	5	0	0	1320	2090	0	0	0
9	6	0	0	365	2091	0	0	0
10	7	0	0	358	2092	0	0	0
11	8	0	0	1709	2093	0	0	0
12	9	0	0	1967	2099	0	0	0
13	10	0	0	1968	2100	0	0	0
1000	1	1	0	110001	2142	0	0	0
1001	2	1	0	1946	2159	0	0	0
1002	3	1	1	1949	327	0	0	0
1003	3	1	2	1959	328	0	0	0
1004	3	1	3	1961	329	0	0	0
1005	3	1	4	1961	330	0	0	0
1006	4	1	0	1501	2089	0	0	0
1007	5	1	0	1320	2090	0	0	0
1008	6	1	0	365	2091	0	0	0
1009	7	1	0	358	2092	0	0	0
1010	8	1	0	1709	2093	0	0	0
1011	9	1	0	1967	2099	0	0	0
1012	10	1	0	1968	2100	0	0	0
