ROWID	_ApplicableValue|INTEGER	_PotentialNo|INTEGER	_IsErasable|BOOLEAN	_CanApplySealedItem|BOOLEAN	_Issuffix|BOOLEAN	_Charge|INTEGER	_PopupType|INTEGER
306350096	18414716	2	false	true	false	30000	0
306333712	18414595	2	false	true	false	40000	0
306366480	18415488	2	false	true	false	50000	0
306350112	20511868	2	false	true	false	100000	0
306333728	20511747	2	false	true	false	150000	0
306366496	20512640	2	false	true	false	200000	0
306350128	24706172	2	false	true	false	200000	0
306333744	24706051	2	false	true	false	300000	0
306366512	24706944	2	false	true	false	400000	0
306352144	18431100	3	false	true	false	50000	0
306335760	18430979	3	false	true	false	80000	0
306368528	18431872	3	false	true	false	90000	0
306352160	20528252	3	false	true	false	200000	0
306335776	20528131	3	false	true	false	300000	0
306368544	20529024	3	false	true	false	350000	0
306352176	24722556	3	false	true	false	400000	0
306335792	24722435	3	false	true	false	600000	0
306368560	24723328	3	false	true	false	700000	0
306354448	1180796	4	false	true	false	100000	0
306354704	1181820	4	false	true	false	100000	0
306354960	1183868	4	false	true	false	100000	0
306355216	1187964	4	false	true	false	100000	0
306355472	1704060	4	false	true	false	100000	0
268439554	17956988	4	false	true	false	100000	0
306338064	1180675	4	false	true	false	150000	0
306338320	1181699	4	false	true	false	150000	0
306338576	1183747	4	false	true	false	150000	0
306338832	1187843	4	false	true	false	150000	0
306339088	1703939	4	false	true	false	150000	0
268439555	17956867	4	false	true	false	150000	0
306354464	3277948	4	false	true	false	400000	0
306354720	3278972	4	false	true	false	400000	0
306354976	3281020	4	false	true	false	400000	0
306355232	3285116	4	false	true	false	400000	0
306355488	3801212	4	false	true	false	400000	0
268439556	20054140	4	false	true	false	400000	0
306338080	3277827	4	false	true	false	600000	0
306338336	3278851	4	false	true	false	600000	0
306338592	3280899	4	false	true	false	600000	0
306338848	3284995	4	false	true	false	600000	0
306339104	3801091	4	false	true	false	600000	0
268439557	20054019	4	false	true	false	600000	0
306354480	7472252	4	false	true	false	800000	0
306354736	7473276	4	false	true	false	800000	0
306354992	7475324	4	false	true	false	800000	0
306355248	7479420	4	false	true	false	800000	0
306355504	7995516	4	false	true	false	800000	0
268439558	24248444	4	false	true	false	800000	0
306338096	7472131	4	false	true	false	1200000	0
306338352	7473155	4	false	true	false	1200000	0
306338608	7475203	4	false	true	false	1200000	0
306338864	7479299	4	false	true	false	1200000	0
306339120	7995395	4	false	true	false	1200000	0
268439559	24248323	4	false	true	false	1200000	0
306370576	18497408	4	false	true	false	180000	0
306370592	20594560	4	false	true	false	700000	0
306370608	24788864	4	false	true	false	1400000	0
306450448	18481151	0	true	true	false	0	1
306452496	18612223	0	true	true	false	0	1
306450464	20578303	0	true	true	false	0	1
306452512	20709375	0	true	true	false	0	1
306450480	24772607	0	true	true	false	0	1
306452528	24903679	0	true	true	false	0	1
306356512	11535484	6	false	true	false	4650000	0
306356768	11536508	6	false	true	false	4650000	0
306357024	11538556	6	false	true	false	4650000	0
306357280	11542652	6	false	true	false	4650000	0
306357536	12058748	6	false	true	false	4650000	0
268439560	28311676	6	false	true	false	4650000	0
306340128	11535363	6	false	true	false	6750000	0
306340384	11536387	6	false	true	false	6750000	0
306340640	11538435	6	false	true	false	6750000	0
306340896	11542531	6	false	true	false	6750000	0
306341152	12058627	6	false	true	false	6750000	0
268439561	28311555	6	false	true	false	6750000	0
306372640	28852096	6	false	true	false	7950000	0
306454560	29360127	0	true	true	false	0	1
268435743	15729788	6	false	true	false	9300000	0
268435744	15730812	6	false	true	false	9300000	0
268435745	15732860	6	false	true	false	9300000	0
268435746	15736956	6	false	true	false	9300000	0
268435747	16253052	6	false	true	false	9300000	0
268439562	32505980	6	false	true	false	9300000	0
268435748	15729667	6	false	true	false	13500000	0
268435749	15730691	6	false	true	false	13500000	0
268435750	15732739	6	false	true	false	13500000	0
268435751	15736835	6	false	true	false	13500000	0
268435752	16252931	6	false	true	false	13500000	0
268439563	32505859	6	false	true	false	13500000	0
268435753	66600832	6	false	true	false	15900000	0
268435754	67108863	0	true	true	false	0	1
268435901	3409020	5	false	true	false	1000000	0
268435902	3410044	5	false	true	false	1000000	0
268435903	3412092	5	false	true	false	1000000	0
268435904	3416188	5	false	true	false	1000000	0
268435905	3932284	5	false	true	false	1000000	0
268439564	20185212	5	false	true	false	1000000	0
268435906	3408899	5	false	true	false	1450000	0
268435907	3409923	5	false	true	false	1450000	0
268435908	3411971	5	false	true	false	1450000	0
268435909	3416067	5	false	true	false	1450000	0
268435910	3932163	5	false	true	false	1450000	0
268439565	20185091	5	false	true	false	1450000	0
268435911	20725632	5	false	true	false	1700000	0
268435912	20971519	0	true	true	false	0	1
268435913	7603324	5	false	true	false	2000000	0
268435914	7604348	5	false	true	false	2000000	0
268435915	7606396	5	false	true	false	2000000	0
268435916	7610492	5	false	true	false	2000000	0
268435917	8126588	5	false	true	false	2000000	0
268439566	24379516	5	false	true	false	2000000	0
