ROWID	_Name|TEXT	_ClassID|INTEGER	_VisibleProb|FLOAT	_VisibleWeather|TEXT	_AniName|TEXT	_ActName|TEXT	_DefaultAction|TEXT	_IntersectionType|INTEGER	_Particle|INTEGER	_Sound|INTEGER	_Sound_Range|DOUBLE	_Sound_Rolloff|FLOAT	_CullingRange|INTEGER	_IsStaticCollision|BOOLEAN	_SpecLevel|INTEGER	_IsCastLightmap|BOOLEAN	_IsLightmapInfluence|BOOLEAN	_IsIncludeNavMesh|BOOLEAN	_IsCastWater|BOOLEAN	_IsProjectileSkip|BOOLEAN	_IsMonsterAggro|BOOLEAN	_IsMonsterCardTypeSkip|INTEGER	_ForceShow|BOOLEAN
2	GreenLand_DungeonPath.skn	2	1.0	All	GreenLand_DungeonPath.ani	GreenLand_DungeonPath.act	Idle	2	14	142	10.0	0.5	0	false	0	true	true	false	true	false	false	0	false
3	Wooden_Barrel.skn	2	0.3	All	Wooden_Barrel.ani	Wooden_Barrel.act	Idle	0	736	143	10.0	0.3	0	false	0	false	true	false	true	false	false	0	false
4	BookCase01.skn	2	1.0	All	BookCase01.ani	BookCase01.act	Idle	2	263	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
5	BookCase02.skn	2	1.0	All	BookCase02.ani	BookCase02.act	Idle	2	263	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
6	MagicStone_Chain01.skn	2	1.0	All	MagicStone_Chain01.ani	MagicStone_Chain01.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
7	MagicStone_Chain02.skn	2	1.0	All	MagicStone_Chain02.ani	MagicStone_Chain02.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
8	MagicStone_Chain03.skn	2	1.0	All	MagicStone_Chain03.ani	MagicStone_Chain03.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
9	MagicStone_Chain04.skn	2	1.0	All	MagicStone_Chain04.ani	MagicStone_Chain04.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
10	MagicStone_Chain05.skn	2	1.0	All	MagicStone_Chain05.ani	MagicStone_Chain05.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
11	MagicStone_Chain06.skn	2	1.0	All	MagicStone_Chain06.ani	MagicStone_Chain06.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
12	MagicStone_Chain07.skn	2	1.0	All	MagicStone_Chain07.ani	MagicStone_Chain07.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
13	MagicStone_Chain08.skn	2	1.0	All	MagicStone_Chain08.ani	MagicStone_Chain08.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
14	MagicStone_Chain09.skn	2	1.0	All	MagicStone_Chain09.ani	MagicStone_Chain09.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
15	MagicStone_Chain10.skn	2	1.0	All	MagicStone_Chain10.ani	MagicStone_Chain10.act	Idle	2	736	1517	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
16	Barricade00.skn	2	1.0	All	Barricade00.ani	Barricade00.act	Idle	2	263	143	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
17	BlackStone01.skn	2	1.0	All	BlackStone01.ani	BlackStone01.act	Idle	2	736	144	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
18	SpiderEgg1.skn	2	1.0	All	SpiderEgg1.ani	SpiderEgg1.act	Idle	2	263	440	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
