ROWID	_SkillIndex1|INTEGER	_SkillLevel1|INTEGER	_SkillIndex2|INTEGER	_SkillLevel2|INTEGER	_SkillIndex3|INTEGER	_SkillLevel3|INTEGER	_SkillIndex4|INTEGER	_SkillLevel4|INTEGER	_SkillIndex5|INTEGER	_SkillLevel5|INTEGER	_SkillIndex6|INTEGER	_SkillLevel6|INTEGER	_SkillIndex7|INTEGER	_SkillLevel7|INTEGER	_SkillIndex8|INTEGER	_SkillLevel8|INTEGER	_SkillIndex9|INTEGER	_SkillLevel9|INTEGER	_SkillIndex10|INTEGER	_SkillLevel10|INTEGER	_SkillIndex11|INTEGER	_SkillLevel11|INTEGER	_SkillIndex12|INTEGER	_SkillLevel12|INTEGER	_SkillIndex13|INTEGER	_SkillLevel13|INTEGER	_SkillIndex14|INTEGER	_SkillLevel14|INTEGER	_SkillIndex15|INTEGER	_SkillLevel15|INTEGER	_SkillIndex16|INTEGER	_SkillLevel16|INTEGER	_SkillIndex17|INTEGER	_SkillLevel17|INTEGER	_SkillIndex18|INTEGER	_SkillLevel18|INTEGER	_SkillIndex19|INTEGER	_SkillLevel19|INTEGER	_SkillIndex20|INTEGER	_SkillLevel20|INTEGER	_SkillIndex21|INTEGER	_SkillLevel21|INTEGER	_SkillIndex22|INTEGER	_SkillLevel22|INTEGER	_SkillIndex23|INTEGER	_SkillLevel23|INTEGER	_SkillIndex24|INTEGER	_SkillLevel24|INTEGER	_SkillIndex25|INTEGER	_SkillLevel25|INTEGER	_SkillIndex26|INTEGER	_SkillLevel26|INTEGER	_SkillIndex27|INTEGER	_SkillLevel27|INTEGER	_SkillIndex28|INTEGER	_SkillLevel28|INTEGER	_SkillIndex29|INTEGER	_SkillLevel29|INTEGER	_SkillIndex30|INTEGER	_SkillLevel30|INTEGER	_SkillIndex31|INTEGER	_SkillLevel31|INTEGER	_SkillIndex32|INTEGER	_SkillLevel32|INTEGER	_SkillIndex33|INTEGER	_SkillLevel33|INTEGER	_SkillIndex34|INTEGER	_SkillLevel34|INTEGER	_SkillIndex35|INTEGER	_SkillLevel35|INTEGER	_SkillIndex36|INTEGER	_SkillLevel36|INTEGER	_SkillIndex37|INTEGER	_SkillLevel37|INTEGER	_SkillIndex38|INTEGER	_SkillLevel38|INTEGER	_SkillIndex39|INTEGER	_SkillLevel39|INTEGER	_SkillIndex40|INTEGER	_SkillLevel40|INTEGER	_SkillIndex41|INTEGER	_SkillLevel41|INTEGER	_SkillIndex42|INTEGER	_SkillLevel42|INTEGER	_SkillIndex43|INTEGER	_SkillLevel43|INTEGER	_SkillIndex44|INTEGER	_SkillLevel44|INTEGER	_SkillIndex45|INTEGER	_SkillLevel45|INTEGER	_SkillIndex46|INTEGER	_SkillLevel46|INTEGER	_SkillIndex47|INTEGER	_SkillLevel47|INTEGER	_SkillIndex48|INTEGER	_SkillLevel48|INTEGER	_SkillIndex49|INTEGER	_SkillLevel49|INTEGER	_SkillIndex50|INTEGER	_SkillLevel50|INTEGER	_SkillIndex51|INTEGER	_SkillLevel51|INTEGER	_SkillIndex52|INTEGER	_SkillLevel52|INTEGER	_SkillIndex53|INTEGER	_SkillLevel53|INTEGER	_SkillIndex54|INTEGER	_SkillLevel54|INTEGER	_SkillIndex55|INTEGER	_SkillLevel55|INTEGER	_SkillIndex56|INTEGER	_SkillLevel56|INTEGER	_SkillIndex57|INTEGER	_SkillLevel57|INTEGER	_SkillIndex58|INTEGER	_SkillLevel58|INTEGER	_SkillIndex59|INTEGER	_SkillLevel59|INTEGER	_SkillIndex60|INTEGER	_SkillLevel60|INTEGER	_SkillIndex61|INTEGER	_SkillLevel61|INTEGER	_SkillIndex62|INTEGER	_SkillLevel62|INTEGER	_SkillIndex63|INTEGER	_SkillLevel63|INTEGER	_SkillIndex64|INTEGER	_SkillLevel64|INTEGER	_SkillIndex65|INTEGER	_SkillLevel65|INTEGER	_SkillIndex66|INTEGER	_SkillLevel66|INTEGER	_SkillIndex67|INTEGER	_SkillLevel67|INTEGER	_SkillIndex68|INTEGER	_SkillLevel68|INTEGER	_SkillIndex69|INTEGER	_SkillLevel69|INTEGER	_SkillIndex70|INTEGER	_SkillLevel70|INTEGER	_SkillIndex71|INTEGER	_SkillLevel71|INTEGER	_SkillIndex72|INTEGER	_SkillLevel72|INTEGER	_SkillIndex73|INTEGER	_SkillLevel73|INTEGER	_SkillIndex74|INTEGER	_SkillLevel74|INTEGER	_SkillIndex75|INTEGER	_SkillLevel75|INTEGER	_SkillIndex76|INTEGER	_SkillLevel76|INTEGER	_SkillIndex77|INTEGER	_SkillLevel77|INTEGER	_SkillIndex78|INTEGER	_SkillLevel78|INTEGER	_SkillIndex79|INTEGER	_SkillLevel79|INTEGER	_SkillIndex80|INTEGER	_SkillLevel80|INTEGER	_SkillIndex81|INTEGER	_SkillLevel81|INTEGER	_SkillIndex82|INTEGER	_SkillLevel82|INTEGER	_SkillIndex83|INTEGER	_SkillLevel83|INTEGER	_SkillIndex84|INTEGER	_SkillLevel84|INTEGER	_SkillIndex85|INTEGER	_SkillLevel85|INTEGER	_SkillIndex86|INTEGER	_SkillLevel86|INTEGER	_SkillIndex87|INTEGER	_SkillLevel87|INTEGER	_SkillIndex88|INTEGER	_SkillLevel88|INTEGER	_SkillIndex89|INTEGER	_SkillLevel89|INTEGER	_SkillIndex90|INTEGER	_SkillLevel90|INTEGER	_SkillIndex91|INTEGER	_SkillLevel91|INTEGER	_SkillIndex92|INTEGER	_SkillLevel92|INTEGER	_SkillIndex93|INTEGER	_SkillLevel93|INTEGER	_SkillIndex94|INTEGER	_SkillLevel94|INTEGER	_SkillIndex95|INTEGER	_SkillLevel95|INTEGER	_SkillIndex96|INTEGER	_SkillLevel96|INTEGER	_SkillIndex97|INTEGER	_SkillLevel97|INTEGER	_SkillIndex98|INTEGER	_SkillLevel98|INTEGER	_SkillIndex99|INTEGER	_SkillLevel99|INTEGER	_SkillIndex100|INTEGER	_SkillLevel100|INTEGER	_SkillIndex101|INTEGER	_SkillLevel101|INTEGER	_SkillIndex102|INTEGER	_SkillLevel102|INTEGER	_SkillIndex103|INTEGER	_SkillLevel103|INTEGER	_SkillIndex104|INTEGER	_SkillLevel104|INTEGER	_SkillIndex105|INTEGER	_SkillLevel105|INTEGER	_SkillIndex106|INTEGER	_SkillLevel106|INTEGER	_SkillIndex107|INTEGER	_SkillLevel107|INTEGER	_SkillIndex108|INTEGER	_SkillLevel108|INTEGER	_SkillIndex109|INTEGER	_SkillLevel109|INTEGER	_SkillIndex110|INTEGER	_SkillLevel110|INTEGER	_SkillIndex111|INTEGER	_SkillLevel111|INTEGER	_SkillIndex112|INTEGER	_SkillLevel112|INTEGER	_SkillIndex113|INTEGER	_SkillLevel113|INTEGER	_SkillIndex114|INTEGER	_SkillLevel114|INTEGER	_SkillIndex115|INTEGER	_SkillLevel115|INTEGER	_SkillIndex116|INTEGER	_SkillLevel116|INTEGER	_SkillIndex117|INTEGER	_SkillLevel117|INTEGER	_SkillIndex118|INTEGER	_SkillLevel118|INTEGER	_SkillIndex119|INTEGER	_SkillLevel119|INTEGER	_SkillIndex120|INTEGER	_SkillLevel120|INTEGER
1	20000	1	20001	1	20002	1	20003	1	20004	1	20005	1	20006	1	20971	1	21222	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	30001	1	30002	1	30003	1	30004	1	30005	1	30006	1	30008	1	30011	1	30012	1	30013	1	30014	1	30015	1	30016	1	30017	1	30018	1	30019	1	30020	1	30010	1	30009	1	30021	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	30104	1	30105	1	30106	1	30107	1	30108	1	30109	1	30110	1	30111	1	30112	1	30113	1	30114	1	30115	1	30116	1	30530	1	30532	1	30534	1	30529	1	30550	1	32420	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	20090	1	20091	1	20092	1	20093	1	20095	1	20096	1	20097	1	20098	1	20099	1	20094	1	35270	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	20070	1	20071	1	20072	1	20073	1	20074	1	20075	1	20076	1	20077	1	20078	1	20079	1	32632	1	32633	1	32634	1	32635	1	32636	1	502961	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	20230	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	30201	1	30197	1	30198	1	30199	1	30200	1	30202	1	30203	1	30195	1	30196	1	30324	1	30461	1	31411	1	31412	1	31413	1	31414	1	31415	1	31416	1	31417	1	31418	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	20020	1	20021	1	20022	1	20023	1	20024	1	20025	1	20026	1	30529	1	32481	1	50011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	20240	1	20241	1	20242	1	20243	1	20244	1	30325	1	30326	1	30413	1	30452	1	30528	1	30533	1	30535	1	32233	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	20150	1	20151	1	20152	1	20153	1	20154	1	20155	1	20156	1	20157	1	20158	1	20159	1	20160	1	20161	1	20162	1	20167	1	20168	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
