ROWID	_StaticName|TEXT	_StateEffectIndex|INTEGER	_ShowTimingType|INTEGER	_EffectOutputType|INTEGER	_EffectPlayType|INTEGER	_EffectSkinFileName|INTEGER	_EffectAniFileName|INTEGER	_EffectActFileName|INTEGER	_ActorActionName|TEXT	_UseDiffuseVariation|INTEGER	_DiffuseR1|DOUBLE	_DiffuseG1|DOUBLE	_DiffuseB1|DOUBLE	_DiffuseR2|DOUBLE	_DiffuseG2|DOUBLE	_DiffuseB2|DOUBLE	_DiffuseChangeSpeed|DOUBLE	_LinkBoneIndex|TEXT	_ContentsID|TEXT	_SetParent|BOOLEAN
1	CantAction	70	0	0	0	0	0	13097	Hold	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			false
2	Burn	42	1	2	1	0	0	13001		1	1.5	0.58	0.0	0.7019608	0.29803923	0.02745098	15.0	1;3;4;5;6		false
3	Freezing	41	1	2	0	13084	13083	13082	Freezing	1	0.23	1.47	1.5	0.25882354	0.6509804	0.9843137	15.0	1;3;4;5;6		false
4	Poisoning	44	1	2	0	0	0	13109		1	0.23	1.0	0.18	0.105882354	0.46666667	0.023529412	2.0	1;3;4;5;6		false
5	Sleep	45	0	2	0	0	0	13119		0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0		false
6	Shock	43	0	2	0	0	0	13117		1	0.397	0.8	1.4	0.03137255	0.19607843	0.6039216	45.0	1;3;4;5;6		false
7	Ice	25	0	2	0	0	0	13089		1	0.23	1.47	1.5	0.25882354	0.6509804	0.9843137	15.0	1;3;4;5;6		false
8	PowerUp	2	0	2	0	0	0	13045		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
9	PowerDown	2	0	2	0	0	0	13044		1	0.25490198	0.4509804	0.5137255	0.4	0.6	0.7	3.0	0		false
10	Wep	70	0	0	0	0	0	13041	Hold	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
11	HP회복	16	0	2	0	0	0	13099		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
12	Berserk	25	0	2	0	0	0	12997		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
13	이속증가	76	0	2	0	0	0	13129		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
14	크리티컬증가	125	0	2	0	0	0	13028		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
15	크리티컬감소	125	0	2	0	0	0	13028		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
16	모든공격력증가	2	0	2	0	0	0	12992		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
17	모든공격력감소	2	0	2	0	0	0	12989		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
18	모든방어력증가	4	0	2	0	0	0	13034		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
19	모든방어력감소	94	0	2	0	0	0	13031		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
20	슈퍼아머증가	61	0	2	0	0	0	13140		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
21	슈퍼아머감소	61	0	2	0	0	0	13139		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
22	동상	25	0	2	0	0	0	13089		1	0.23	1.47	1.5	0.25882354	0.6509804	0.9843137	15.0	1;3;4;5;6		false
23	거미줄_소	25	0	2	0	0	0	13042		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
24	넝쿨	70	0	2	0	0	0	13144	Hold	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
25	경직력증가	123	0	2	0	0	0	13133		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
26	경직력감소	123	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
27	스턴확률증가	127	0	2	0	0	0	13136		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
28	스턴확률감소	127	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
29	침묵	78	0	2	0	0	0	13118		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
30	리자드맨독	44	0	2	0	0	0	13108		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
31	유혹	86	0	2	0	0	0	13141		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
32	광분화_화염	25	0	2	0	0	0	12998		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
33	켈베로스파이어	36	0	0	0	0	0	13003		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
34	켈베로스아이스	37	0	0	0	0	0	13004		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
35	켈베로스다크	39	0	0	0	0	0	13002		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
36	물리공격저항	134	0	2	0	0	0	13106		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
37	마법공격저항	135	0	2	0	0	0	13105		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
38	붙잡기	70	0	2	0	0	0	13038	Hit_Up	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
39	모든방어력증가	4	0	2	0	0	0	13076		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
40	Berserk_Lv2	25	0	2	0	0	0	12999		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	1		false
41	Slow	25	0	2	0	0	0	13077		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
42	PowerUp	2	0	2	0	0	0	13046		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
43	느낌표	0	0	2	0	0	0	13038		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
44	Poisoning_Extreme	44	1	2	0	0	0	13110		1	0.23	1.0	0.18	0.105882354	0.46666667	0.023529412	2.0	1;3;4;5;6		false
45	FREEZINGPRISON	149	1	2	0	13087	13086	13085	Freezing	1	1.05	1.47	1.5	0.2	0.60784316	0.79607844	2.0	2		false
46	넝쿨(파티)	149	1	0	0	0	0	13145	Hit_Up	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
47	가시지옥	149	1	0	0	0	0	13145	Hit_Up	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
48	타겟팅	100	0	2	0	0	0	13104		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
49	용추종자클레릭_Block	30	0	2	0	0	0	13039		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
50	유니크몬스터_블랙	0	0	2	0	0	0	13050		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
51	유니크몬스터_블루	0	0	2	0	0	0	13054		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
52	유니크몬스터_그린	0	0	2	0	0	0	13059		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
53	유니크몬스터_오렌지	0	0	2	0	0	0	13063		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
54	유니크몬스터_레드	0	0	2	0	0	0	13067		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
55	유니크몬스터_화이트	0	0	2	0	0	0	13072		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
56	유니크몬스터7	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
57	유니크몬스터8	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
58	유니크몬스터9	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
59	유니크몬스터10	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
60	네임드몬스터_블랙	0	0	2	0	0	0	13052		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
61	네임드몬스터_블루	0	0	2	0	0	0	13057		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
62	네임드몬스터_그린	0	0	2	0	0	0	13061		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
63	네임드몬스터_오렌지	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
64	네임드몬스터_레드	0	0	2	0	0	0	13070		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
65	네임드몬스터_화이트	0	0	2	0	0	0	13074		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
66	네임드몬스터7	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
67	네임드몬스터8	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
68	네임드몬스터9	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
69	네임드몬스터10	0	0	2	0	0	0	13065		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
