ROWID	_Type|INTEGER	_CashSN|INTEGER	_ItemID|INTEGER	_Count|INTEGER	_SealCount|INTEGER	_ItemOption|INTEGER	_Dolis|BOOLEAN	_TypeMID|INTEGER
1	1	0	268437433	1	-1	30001	true	1000050550
2	1	0	268437466	1	1	30002	true	1000050550
3	1	0	268437531	1	2	30003	true	1000050550
4	1	0	268437498	1	3	30004	true	1000050550
5	1	0	268437595	1	4	30005	true	1000050550
6	1	0	268437849	1	5	30006	true	1000050550
7	1	0	268437679	1	6	30007	true	1000050550
8	1	0	268437744	1	7	30008	true	1000050550
9	1	0	268437777	1	0	30009	true	1000050550
10	1	0	268437712	1	1	30010	true	1000050550
11	1	0	268437895	1	2	30011	true	1000050550
12	1	0	268437563	1	3	30012	true	1000050550
13	1	0	268437797	1	4	30013	true	1000050550
14	1	0	268437817	1	5	30014	true	1000050550
15	1	0	268439722	1	6	30015	true	1000050550
16	1	0	268439926	1	7	30001	true	1000050550
19	2	0	268435957	1	-1	0	false	1000050551
20	2	0	268435958	1	-1	0	false	1000050551
21	2	0	268435959	1	-1	0	false	1000050551
22	2	0	268435960	1	-1	0	false	1000050551
23	2	0	268435961	1	-1	0	false	1000050551
24	2	100000011	0	0	0	0	false	1000050551
25	2	100000427	0	0	0	0	false	1000050551
26	2	100000428	0	0	0	0	false	1000050551
27	3	0	268437433	1	-1	0	true	1000050552
28	3	0	268437595	1	-1	0	true	1000050552
29	3	0	268437563	1	-1	0	true	1000050552
30	3	0	268437849	1	-1	0	true	1000050552
