ROWID	_ToolTip|INTEGER	_Grade|INTEGER	_OutputType|INTEGER	_MapID|TEXT	_Level|TEXT	_Image|TEXT
1001	1301000	1	0	0	1;10	0
1002	1301001	1	0	0	1;10	0
1003	1000152087	1	0	0	1;10	0
1004	1301003	1	0	0	1;10	0
1005	1301004	0	0	0	0	0
1006	1301005	1	0	0	1;10	0
1007	1301006	1	0	0	1;10	0
1008	1301007	1	0	0	1;10	0
1009	1301008	1	0	0	1;10	0
1010	1301009	1	0	0	1;10	0
1011	1301010	1	0	0	1;10	0
1012	1301011	1	0	0	1;10	0
1013	1301012	1	0	0	1;10	0
1014	1301013	1	0	0	1;10	0
1015	1301014	0	0	0	0	0
1016	1301015	0	0	0	0	0
1017	1301016	0	0	0	0	0
1018	1301017	1	0	0	1;10	0
1019	1301018	0	0	0	0	0
1020	1301019	1	0	0	1;10	0
1021	1301020	0	0	0	0	0
1022	1301021	1	0	0	1;10	0
1023	1301022	1	0	0	1;10	0
1024	1301023	1	0	0	1;10	0
1025	1301024	1	0	0	1;10	0
1026	1301025	1	0	0	1;10	0
1027	1301026	1	0	0	1;10	0
1028	1301027	1	0	0	1;10	0
1029	1301028	1	0	0	1;10	0
1030	1301029	1	0	0	1;10	0
1031	1301030	1	0	0	1;10	0
1032	1301031	0	0	0	0	0
1033	1301032	0	0	0	0	0
1034	1301033	0	0	0	0	0
1035	1301034	0	0	0	0	0
1036	1301035	0	0	0	0	0
1037	1301036	0	0	0	0	0
1039	1301038	0	0	0	0	0
1040	1000046294	0	0	0	0	0
1041	8430	0	0	0	0	0
1042	1000152088	3	0	0	24;100	0
1043	1000152089	3	0	0	24;100	0
1044	1000057279	0	0		0	0
1045	1000057280	0	0		0	0
1046	1000152090	0	0	0	0	0
1047	1000152091	3	0	0	95	0
1048	1000152092	0	0	0	0	0
1049	1000152093	0	0	0	0	0
2001	1302001	0	0	0	0	0
2002	1302002	0	0	0	0	0
2003	1302003	0	0	0	0	0
2004	1302004	0	0	0	0	0
2006	1302006	2	0	0	11;23	0
2007	1302007	2	0	0	11;23	0
2008	1302008	2	0	0	11;23	0
2009	1302009	2	0	0	11;23	0
2010	1302010	2	0	0	11;23	0
2011	1302011	2	0	0	11;23	0
2012	1000152618	2	0	0	11;23	0
2013	1302013	2	0	0	11;23	0
2017	1302017	1	0	0	1;10	0
2018	1302018	1	0	0	1;10	0
2019	1302019	1	0	0	1;10	0
2022	1302022	1	0	0	1;10	0
2023	1302023	1	0	0	1;10	0
2024	1302024	1	0	0	1;10	0
2025	1302025	1	0	0	1;10	0
2026	1302026	1	0	0	1;10	0
2027	1302027	0	0	0	0	0
2028	1302028	2	0	0	11;23	0
2029	1302029	2	0	0	11;23	0
2030	1302030	2	0	0	11;23	0
2034	1302034	2	0	0	11;23	0
2037	1000152094	2	0	0	11;23	0
2038	1302038	2	0	0	11;23	0
2039	1000046330	2	0	0	11;23	0
2040	1000152095	2	0	0	11;23	0
