ROWID	_Grade|INTEGER	_ReflashTime|INTEGER	_CheckType|INTEGER	_ReflashItemID1|INTEGER	_ReflashItemAmount1|INTEGER	_ReflashItemID2|INTEGER	_ReflashItemAmount2|INTEGER	_ReflashItemID3|INTEGER	_ReflashItemAmount3|INTEGER	_ReflashItemID4|INTEGER	_ReflashItemAmount4|INTEGER	_ReflashItemID5|INTEGER	_ReflashItemAmount5|INTEGER	_ReflashPointID|INTEGER	_ReflashPointAmount|INTEGER
1	0	2	0	0	0	0	0	0	0	0	0	0	0	30	500
2	0	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
3	0	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
4	0	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
5	0	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
6	0	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
7	0	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
8	0	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
9	0	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
10	0	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
11	1	2	0	0	0	0	0	0	0	0	0	0	0	30	500
12	1	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
13	1	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
14	1	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
15	1	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
16	1	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
17	1	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
18	1	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
19	1	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
20	1	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
21	2	2	0	0	0	0	0	0	0	0	0	0	0	30	500
22	2	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
23	2	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
24	2	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
25	2	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
26	2	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
27	2	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
28	2	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
29	2	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
30	2	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
31	3	2	0	0	0	0	0	0	0	0	0	0	0	30	500
32	3	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
33	3	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
34	3	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
35	3	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
36	3	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
37	3	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
38	3	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
39	3	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
40	3	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
41	4	2	0	0	0	0	0	0	0	0	0	0	0	30	500
42	4	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
43	4	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
44	4	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
45	4	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
46	4	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
47	4	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
